"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion_vivienda","Satisfaccion_educacion","Satisfaccion_tecnologia","Satisfaccion_trabajo","Satisfaccion_salud"
"5788",7258647,3,90.9,40,42,100,71
"5789",7258648,4,90.9,32,35,60,67
"5790",7258658,2,87.87,40,58,100,68
"5791",7258661,3,87.87,64,3,100,71
"5792",7258661,4,87.87,40,31,100,67
"5793",7258664,5,96.96,32,28,100,71
"5794",7258667,4,81.81,24,24,100,69
"5795",7258670,3,77.26,40,31,100,67
"5796",7258671,3,87.87,40,37,100,71
"5797",7258671,4,87.87,40,31,100,61.5
"5798",7258672,3,77.26,40,31,100,69
"5799",7258674,2,69.69,32,56,100,69
"5800",7258674,3,69.69,40,31,100,71
"5801",7258675,2,78.78,24,34,100,71
"5802",7258677,4,90.9,40,32,100,71
"5803",7258680,2,90.9,32,54,100,71
"5804",7258680,3,90.9,64,33,100,71
"5805",7258681,3,78.78,32,16,100,71
"5806",7258681,4,78.78,48,27,100,71
"5807",7258682,3,78.78,40,3,100,71
"5808",7258682,4,78.78,40,31,100,69
"5809",7258683,3,72.72,48,3,100,71
"5810",7258683,4,72.72,40,31,100,75
"5811",7258684,3,78.78,48,28,100,71
"5812",7258684,4,78.78,48,23,100,71
"5813",7258685,3,69.69,48,24,100,71
"5814",7258685,4,69.69,48,24,100,68
"5815",7258686,3,69.69,40,31,100,75
"5816",7258693,5,81.81,56,24,100,64.5
"5817",7258726,3,24.24,56,23,100,69.5
"5818",7258727,4,42.42,32,4,100,71
"5819",7258730,3,54.54,56,23,100,75
"5820",7258731,3,51.51,32,23,100,67
"5821",7258731,4,51.51,32,24,100,72
"5822",7258733,3,51.51,40,31,100,75
"5823",7258742,4,57.57,48,26,100,71
"5824",7258748,5,51.51,48,27,100,71
"5825",7258751,3,42.42,56,27,100,71
"5826",7258751,4,42.42,48,16,100,69
"5827",7258751,5,42.42,48,3,100,71
"5828",7258752,2,36.36,40,36,100,71
"5829",7258753,3,45.45,40,31,100,71
"5830",7258756,4,69.69,56,3,100,71
"5831",7258757,4,54.54,56,27,100,71
"5832",7258759,5,81.81,48,16,100,64.5
"5833",7258765,5,42.42,48,3,100,71
"5834",7258765,6,42.42,40,31,100,71
"5835",7258767,3,42.42,48,16,100,63
"5836",7258768,2,51.51,48,16,100,69
"5837",7258770,3,45.45,40,16,70,71
"5838",7258771,4,51.51,40,31,100,71
"5839",7258777,3,51.51,40,3,100,71
"5840",7258778,4,36.36,40,3,100,71
"5841",7258784,3,51.51,40,31,100,71
"5842",7258790,3,72.72,48,1,100,71
"5843",7258812,3,81.81,40,31,100,71
"5844",7258833,4,69.69,48,3,100,67
"5845",7258846,3,31.81,40,31,100,67
"5846",7258851,3,51.51,48,1,100,71
"5847",7258854,3,51.51,48,16,100,71
"5848",7258858,4,45.45,64,16,100,71
"5849",7258858,5,45.45,40,3,100,63
"5850",7258858,6,45.45,56,1,60,71
"5851",7258868,4,42.42,32,50,70,71
"5852",7258870,4,36.36,40,31,100,71
"5853",7258871,3,45.45,32,0,100,67
"5854",7258877,2,45.45,32,0,100,71
"5855",7258877,3,45.45,40,31,100,71
"5856",7258881,3,36.36,48,3,100,66
"5857",7258888,3,42.42,48,3,100,71
"5858",7258902,3,60.6,48,23,100,71
"5859",7258902,4,60.6,40,31,100,67
"5860",7258904,4,60.6,40,31,100,71
"5861",7258905,3,54.54,40,31,100,68
"5862",7258909,5,63.63,24,1,100,71
"5863",7258910,4,66.66,32,0,100,63
"5864",7258914,4,51.51,40,31,100,71
"5865",7258920,4,60.6,20,3,100,71
"5866",7258928,4,36.36,20,23,100,71
"5867",7258930,4,51.51,32,23,100,73
"5868",7258941,3,81.81,32,0,100,68.5
"5869",7258941,4,81.81,40,31,100,71
"5870",7258942,2,75.75,32,3,100,67
"5871",7258942,5,75.75,40,31,100,75
"5872",7258959,5,90.9,40,31,100,72
"5873",7258964,3,81.81,32,53,100,70
"5874",7258964,4,81.81,40,31,100,69.5
"5875",7258967,5,90.9,28,30,70,68
"5876",7258972,2,75.75,40,31,100,71
"5877",7258975,3,84.84,40,31,100,71
"5878",7258976,3,81.81,40,30,100,67
"5879",7258979,4,90.9,40,31,100,64
"5880",7258981,4,75.75,28,35,100,66.5
"5881",7258988,6,75.75,14,3,100,71
"5882",7258991,3,72.72,48,25,100,68.5
"5883",7258992,3,66.66,48,25,70,71
"5884",7258992,4,66.66,40,31,100,73
"5885",7258993,5,78.78,40,31,100,71
"5886",7259000,6,72.72,40,31,100,67
"5887",7259001,4,69.69,48,3,100,71
"5888",7259005,7,81.81,40,31,100,72
"5889",7259007,3,60.6,40,24,100,71
"5890",7259012,3,72.72,40,31,100,69
"5891",7259013,4,54.54,48,25,100,75
"5892",7259014,3,81.81,48,25,100,71
"5893",7259020,3,45.45,40,3,100,68
"5894",7259020,4,45.45,48,22,100,65
"5895",7259021,3,45.45,48,25,100,72
"5896",7259022,5,51.51,40,31,100,67
"5897",7259035,4,90.9,40,23,100,71
"5898",7259039,4,84.84,40,23,100,71
"5899",7259041,4,90.9,48,30,100,68
"5900",7259044,4,81.81,48,3,100,75
"5901",7259045,3,84.84,40,31,100,71
"5902",7259047,4,78.78,32,6,100,73
"5903",7259047,5,78.78,48,27,100,75
"5904",7259048,8,90.9,48,3,100,69
"5905",7259053,3,81.81,40,31,100,71
"5906",7259056,3,81.81,40,31,100,67
"5907",7259059,2,75.75,48,24,100,75
"5908",7259059,3,75.75,40,31,100,71
"5909",7259060,4,90.9,48,29,100,69
"5910",7259065,3,81.81,40,31,100,67
"5911",7259068,3,78.78,48,30,100,75
"5912",7259071,3,87.87,40,31,100,71
"5913",7259073,2,90.9,48,1,100,71
"5914",7259073,3,90.9,48,1,100,71
"5915",7259073,4,90.9,48,3,100,72
"5916",7259076,2,81.81,40,31,100,75
"5917",7259079,5,75.75,40,1,100,65.5
"5918",7259080,3,90.9,40,31,100,67
"5919",7259084,3,78.78,40,3,100,75
"5920",7259086,3,87.87,40,31,100,69
"5921",7259099,2,60.6,48,1,100,67
"5922",7259113,5,63.63,48,3,100,71
"5923",7259113,6,63.63,48,58,100,68
"5924",7259121,3,81.81,40,31,100,71
"5925",7259124,3,90.9,18,22,100,67
"5926",7259125,3,75.75,40,31,100,71
"5927",7259134,4,87.87,48,1,100,65
"5928",7259134,5,87.87,40,31,100,75
"5929",7259134,8,87.87,48,1,100,69
"5930",7259138,3,60.6,48,3,100,68.5
"5931",7259141,3,51.51,48,3,100,67
"5932",7259143,3,45.45,40,31,100,71
"5933",7259144,3,63.63,48,3,100,71
"5934",7259150,2,60.6,40,3,100,76
"5935",7259152,3,60.6,48,3,100,75
"5936",7259152,4,60.6,40,31,100,67
"5937",7259155,4,51.51,40,31,100,67
"5938",7259155,5,51.51,40,31,100,71
"5939",7259158,4,36.36,20,3,100,75
"5940",7259158,5,36.36,48,3,100,71
"5941",7259158,6,36.36,40,31,100,75
"5942",7259159,3,42.42,40,31,100,75
"5943",7259159,5,42.42,40,31,100,71
"5944",7259164,3,51.51,40,31,100,71
"5945",7259166,4,57.57,40,31,100,72
"5946",7259170,4,66.66,48,3,100,71
"5947",7259171,2,51.51,48,3,100,71
"5948",7259172,5,51.51,40,68,100,64.5
"5949",7259174,3,57.57,28,16,100,67
"5950",7259177,5,57.57,20,16,100,71
"5951",7259177,6,57.57,20,16,100,71
"5952",7259178,3,60.6,40,3,100,73
"5953",7259181,3,69.69,40,31,100,68.5
"5954",7259185,3,57.57,40,31,100,71
"5955",7259186,4,69.69,40,1,100,71
"5956",7259187,2,57.57,28,3,25,71
"5957",7259196,2,57.57,28,3,100,69
"5958",7259200,3,57.57,28,1,100,75
"5959",7259206,3,78.78,20,29,100,72.5
"5960",7259206,4,78.78,48,3,70,71
"5961",7259206,5,78.78,48,25,100,71
"5962",7259207,4,54.54,40,3,100,71
"5963",7259207,5,54.54,40,53,100,71
"5964",7259208,3,54.54,40,32,100,75
"5965",7259208,4,54.54,40,31,100,67
"5966",7259213,3,63.63,40,31,100,73
"5967",7259215,5,51.51,48,3,100,75
"5968",7259217,4,60.6,48,3,100,67
"5969",7259228,3,72.72,64,3,100,72
"5970",7259229,4,87.87,56,3,70,60
"5971",7259231,3,69.69,56,3,100,67
"5972",7259231,4,69.69,56,3,100,68
"5973",7259231,5,69.69,40,31,100,71
"5974",7259232,3,78.78,40,3,100,71
"5975",7259232,4,78.78,48,3,60,68
"5976",7259234,5,48.48,40,31,100,71
"5977",7259234,6,48.48,40,31,100,70
"5978",7259238,3,63.63,40,3,100,65
"5979",7259244,3,54.54,48,3,100,75
"5980",7259244,4,54.54,48,3,100,71
"5981",7259245,4,57.57,48,3,60,69
"5982",7259245,5,57.57,40,31,100,69
"5983",7259245,6,57.57,40,31,100,71
"5984",7259246,3,42.42,64,3,100,75
"5985",7259248,3,36.36,48,3,100,71
"5986",7259250,3,42.42,40,31,100,73
"5987",7259251,4,30.3,64,3,100,67
"5988",7259252,4,42.42,56,3,100,72
"5989",7259253,8,45.45,64,3,100,62
"5990",7259253,9,45.45,40,31,100,72.5
"5991",7259254,3,42.42,48,3,100,72
"5992",7259254,4,42.42,48,3,100,67
"5993",7259260,3,54.54,40,31,100,75
"5994",7259261,3,39.39,40,31,100,67
"5995",7259261,4,39.39,26,23,100,71
"5996",7259263,2,36.36,40,31,100,70
"5997",7259265,3,45.45,40,31,100,67
"5998",7259265,4,45.45,40,31,100,67
"5999",7259266,5,42.42,40,3,100,73
"6000",7259266,6,42.42,48,3,70,71
"6001",7259271,3,48.48,64,3,100,71
"6002",7259272,5,45.45,40,31,100,71
"6003",7259277,4,60.6,56,3,100,68.5
"6004",7259278,3,69.69,64,51,100,72
"6005",7259280,3,51.51,64,16,100,71
"6006",7259281,2,60.6,64,0,100,72
"6007",7259284,4,66.66,48,16,100,75
