"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion_vivienda","Satisfaccion_educacion","Satisfaccion_salud","Satisfaccion_servicios_hogar","Satisfaccion_tecnologia","Satisfaccion_composicion_hogar","satisfaccion_total"
"9444",7323687,2,54.54,60,65.5,0,23,79,10
"9445",7323692,1,45.45,44,68,59,36,79,10
"9446",7323693,2,45.45,60,65.5,0,36,91,10
"9447",7323694,1,54.54,60,65.5,54,31,91,10
"9448",7323695,1,60.6,44,67,38,36,79,10
"9449",7323696,1,51.51,44,59,36,31,91,10
"9451",7323697,3,69.69,60,68,0,31,91,10
"9452",7323701,1,60.6,60,65.5,56,56,91,10
"9453",7323701,2,60.6,44,62.5,0,23,51,7
"9456",7323712,1,69.69,60,66.5,36,23,79,10
"9457",7323713,1,66.66,60,59,34,23,69,10
"9458",7323713,2,66.66,100,67,0,36,91,10
"9459",7323717,2,75.75,60,59,0,23,60,10
"9460",7323719,2,72.72,60,65.5,0,23,91,10
"9462",7323733,1,87.87,60,69,45,23,66,8
"9463",7323737,2,81.81,60,66,0,36,69,8
"9464",7323738,5,96.96,60,71,0,23,86,8
"9465",7323749,2,81.81,60,64,0,23,55,6
"9466",7323750,1,75.75,100,66,47,23,69,7
"9467",7323750,2,75.75,100,71,0,23,77,8
"9468",7323751,1,69.69,60,67,46,23,72,7
"9469",7323751,2,69.69,60,64.5,0,23,77,7
"9470",7323757,1,81.81,60,59.5,34,23,72,7
"9471",7323757,2,81.81,44,68.5,0,23,87,7
"9472",7323775,1,90.9,60,61.5,34,23,77,7
"9473",7323776,1,87.87,60,68.5,57,23,91,5
"9474",7323777,1,45.45,60,64.5,59,45,77,6
"9475",7323778,1,45.45,60,56,61,23,56,6
"9476",7323779,1,45.45,60,70,63,3,82,6
"9477",7323787,1,54.54,60,63,57,23,57,7
"9478",7323791,4,60.6,44,71,0,23,43,6
"9479",7323794,1,48.48,60,67,65,36,40,5
"9481",7323806,1,45.45,44,71,57,36,91,6
"9482",7323809,1,36.36,60,71,57,36,71,7
"9483",7323809,2,36.36,60,57,0,16,91,5
"9484",7323810,1,45.45,60,75,53,44,71,7
"9485",7323813,1,54.54,44,47.5,49,51,55,7
"9486",7323819,1,72.72,44,64.5,56,36,91,6
"9487",7323819,2,72.72,44,69,0,36,82,10
"9490",7323820,2,57.57,60,69,0,23,38,6
"9491",7323826,1,36.36,60,67.5,36,23,33,10
"9492",7323826,2,36.36,60,65,0,23,67,7
"9493",7323827,1,36.36,60,67.5,63,23,66,7
"9494",7323830,1,45.45,60,65.5,61,53,52,8
"9496",7323831,3,51.51,44,71,0,31,82,10
"9497",7323832,1,45.45,60,67,55,23,58,10
"9498",7323836,1,33.33,60,62.5,65,36,38,8
"9500",7323837,1,45.45,60,71,64,23,57,10
"9501",7323837,2,45.45,60,71,0,21,57,8
"9502",7323847,1,36.36,60,71,63,55,91,7
"9503",7323853,4,57.57,60,71,0,44,81,7
"9504",7323855,2,27.27,60,59,0,36,28,7
"9505",7323859,1,39.39,60,66.5,63,53,91,8
"9506",7323859,2,39.39,60,62.5,0,63,91,7
"9510",7323877,1,57.57,60,71,65,44,91,5
