"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"693",7248976,2,60
"694",7248980,1,60
"695",7248983,4,60
"696",7248987,1,60
"697",7248987,2,80
"698",7248988,1,60
"699",7248989,1,80
"700",7248990,1,60
"701",7248990,2,60
"702",7248990,3,60
"703",7248992,2,80
"704",7248993,1,60
"705",7248995,1,80
"706",7248999,1,100
"707",7248999,2,60
"708",7249000,1,80
"709",7249000,2,60
"710",7249002,1,60
"711",7249003,1,60
"712",7249003,2,60
"713",7249006,2,60
"714",7249008,1,60
"715",7249008,2,60
"716",7249009,3,60
"717",7249012,1,60
"718",7249012,2,60
"719",7249014,1,60
"720",7249016,1,60
"721",7249016,7,60
"722",7249019,3,60
"723",7249020,4,44
"724",7249020,5,80
"725",7249022,1,60
"726",7249022,2,60
"727",7249023,1,60
"728",7249024,1,60
"729",7249025,1,100
"730",7249026,1,60
"731",7249028,1,60
"732",7249029,1,60
"733",7249030,1,60
"734",7249032,1,80
"735",7249034,1,100
"736",7249035,1,60
"737",7249035,2,60
"738",7249040,6,60
"739",7249041,1,60
"740",7249043,1,60
"741",7249044,1,60
"742",7249045,1,60
"743",7249046,1,60
"744",7249048,1,60
"745",7249048,2,60
"746",7249049,1,60
"747",7249049,2,60
"748",7249052,1,80
"749",7249055,5,60
"750",7249057,4,60
"751",7249078,1,80
"752",7249080,1,60
"753",7249080,2,60
"754",7249081,1,44
"755",7249083,1,60
"756",7249084,1,60
"757",7249085,1,60
"758",7249088,1,60
"759",7249088,2,60
"760",7249096,1,60
"761",7249100,1,60
"762",7249106,1,60
"763",7249107,1,60
"764",7249114,1,44
"765",7249124,1,60
"766",7249127,2,60
"767",7249128,1,80
"768",7249128,2,60
"769",7249136,1,60
"770",7249143,1,60
"771",7249143,2,60
"772",7249144,1,60
"773",7249146,1,44
"774",7249146,2,44
"775",7249147,1,44
"776",7249148,1,100
"777",7249149,1,44
"778",7249154,1,60
"779",7249154,2,44
"780",7249155,1,60
"781",7249155,2,60
"782",7249156,1,60
"783",7249156,2,60
"784",7249161,1,60
"785",7249162,1,60
"786",7249164,1,60
"787",7249165,1,60
"788",7249165,2,60
"789",7249171,4,60
"790",7249172,1,60
"791",7249178,1,60
"792",7249180,4,60
"793",7249184,1,60
"794",7249185,1,60
"795",7249186,1,60
"796",7249186,2,60
"797",7249190,1,60
"798",7249193,1,44
"799",7249197,1,60
"800",7249202,1,60
"801",7249203,1,44
"802",7249205,1,60
"803",7249205,2,60
"804",7249208,1,60
