"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"579",7249100,5,39
"580",7249109,4,53
"581",7249109,5,25
"582",7249113,4,16
"583",7249114,3,28
"584",7249114,4,29
"585",7249116,3,33
"586",7249117,4,16
"587",7249117,5,26
"588",7249118,3,3
"589",7249118,3,23
"590",7249118,4,53
"591",7249118,4,3
"592",7249118,5,3
"593",7249119,4,16
"594",7249119,5,16
"595",7249123,3,27
"596",7249123,4,9
"597",7249125,2,56
"598",7249131,3,23
"599",7249136,4,1
"600",7249142,3,32
"601",7249152,3,1
"602",7249155,5,1
"603",7249155,6,1
"604",7249157,4,24
"605",7249160,7,1
"606",7249166,6,0
"607",7249169,3,16
"608",7249180,3,41
"609",7249183,4,64
"610",7249184,5,24
"611",7249184,6,0
"612",7249185,3,1
"613",7249187,3,38
"614",7249189,3,0
"615",7249201,4,26
"616",7249211,2,74
"617",7249234,3,21
"618",7249237,3,34
"619",7249237,5,24
"620",7249240,5,25
"621",7249241,2,30
"622",7249245,3,3
"623",7249251,5,23
"624",7249252,2,25
"625",7249255,3,1
"626",7249255,3,25
"627",7249255,4,1
"628",7249258,3,26
"629",7249260,5,23
"630",7249261,4,23
"631",7249261,5,0
"632",7249269,3,1
"633",7249273,3,28
"634",7249276,3,3
"635",7249277,3,3
"636",7249278,4,3
"637",7249282,4,58
"638",7249285,4,3
"639",7249285,6,3
"640",7249287,3,3
"641",7249290,3,16
"642",7249292,6,1
"643",7249293,2,23
"644",7249296,4,54
"645",7249298,4,16
"646",7249298,5,13
"647",7249304,3,28
"648",7249306,3,28
"649",7249308,4,3
"650",7249311,3,0
"651",7249317,5,3
"652",7249319,3,3
"653",7249319,4,3
"654",7249320,2,24
"655",7249322,2,3
"656",7249322,3,16
"657",7249324,3,30
"658",7249324,4,3
"659",7249329,2,0
"660",7249329,3,0
"661",7249329,4,0
"662",7249330,4,16
"663",7249342,5,3
"664",7249344,4,3
"665",7249344,5,3
"666",7249349,5,3
"667",7249351,3,3
"668",7249361,4,3
"669",7249362,3,3
"670",7249362,4,3
"671",7249364,3,3
"672",7249365,8,3
"673",7249372,4,3
"674",7249377,3,3
"675",7249379,6,32
"676",7249380,6,16
"677",7249382,3,16
"678",7249382,4,16
"679",7249385,5,1
"680",7249386,3,3
"681",7249386,4,16
"682",7249388,2,1
"683",7249394,4,1
"684",7249394,5,23
"685",7249396,2,3
"686",7249398,3,16
"687",7249398,4,16
"688",7249401,3,1
"689",7249406,3,32
"690",7249407,2,1
"691",7249408,3,24
"692",7249408,4,1
"693",7249409,4,1
"694",7249413,4,60
"695",7249424,2,36
"696",7249431,3,36
"697",7249431,4,30
"698",7249432,3,36
"699",7249432,4,35
"700",7249433,4,4
"701",7249434,3,32
"702",7249434,4,30
"703",7249435,3,60
"704",7249436,3,26
"705",7249448,3,3
"706",7249453,4,66
"707",7249454,3,0
"708",7249457,3,1
"709",7249458,3,16
"710",7249462,3,1
"711",7249464,4,31
"712",7249464,5,26
"713",7249472,3,1
"714",7249482,2,3
"715",7249488,3,23
"716",7249494,3,7
"717",7249498,5,27
"718",7249508,4,34
"719",7249509,4,26
"720",7249510,2,24
"721",7249510,3,3
"722",7249516,3,24
"723",7249517,3,3
"724",7249518,3,62
"725",7249519,4,31
"726",7249522,3,24
"727",7249530,4,55
"728",7249539,3,51
"729",7249539,4,0
"730",7249541,3,56
"731",7249544,4,30
"732",7249546,4,25
"733",7249548,4,24
"734",7249548,5,26
"735",7249562,5,1
"736",7249562,6,1
"737",7249570,3,64
"738",7249570,5,32
"739",7249571,4,27
"740",7249572,4,1
"741",7249573,3,30
"742",7249573,4,30
"743",7249581,2,54
"744",7249586,2,26
"745",7249587,3,24
"746",7249592,3,54
"747",7249592,4,54
"748",7249593,5,58
