"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"935",7250523,3,100
"936",7250530,5,100
"937",7250555,2,100
"938",7250569,3,100
"939",7250575,4,100
"940",7250575,5,100
"941",7250577,2,100
"942",7250577,3,100
"943",7250580,3,100
"944",7250585,5,100
"945",7250585,6,100
"946",7250601,4,100
"947",7250605,4,100
"948",7250611,5,100
"949",7250614,5,100
"950",7250614,6,100
"951",7250618,3,100
"952",7250619,3,100
"953",7250620,3,100
"954",7250623,4,100
"955",7250624,4,100
"956",7250627,3,100
"957",7250631,3,60
"958",7250633,4,100
"959",7250633,5,100
"960",7250634,4,100
"961",7250635,3,100
"962",7250636,4,100
"963",7250636,5,25
"964",7250637,3,100
"965",7250642,7,100
"966",7250656,3,100
"967",7250657,4,100
"968",7250659,2,70
"969",7250666,2,100
"970",7250668,5,100
"971",7250669,5,100
"972",7250669,6,100
"973",7250675,4,100
"974",7250679,3,100
"975",7250684,3,100
"976",7250689,4,100
"977",7250690,4,100
"978",7250691,4,100
"979",7250691,5,100
"980",7250694,3,100
"981",7250697,3,100
"982",7250698,5,100
"983",7250699,3,100
"984",7250702,5,100
"985",7250702,6,100
"986",7250704,3,100
"987",7250707,4,100
"988",7250708,3,100
"989",7250716,3,100
"990",7250716,4,100
"991",7250717,2,100
"992",7250718,5,100
"993",7250718,6,100
"994",7250718,7,100
"995",7250719,6,70
"996",7250720,4,100
"997",7250722,3,100
"998",7250722,4,70
"999",7250729,3,100
"1000",7250730,3,100
"1001",7250733,4,100
"1002",7250736,3,100
"1003",7250737,5,70
"1004",7250741,5,100
"1005",7250742,3,100
"1006",7250742,4,100
"1007",7250746,4,100
"1008",7250747,6,100
"1009",7250747,7,100
"1010",7250748,2,100
"1011",7250751,3,100
"1012",7250755,4,100
"1013",7250757,4,100
"1014",7250764,3,100
"1015",7250766,4,100
"1016",7250769,3,100
"1017",7250773,3,100
"1018",7250780,4,100
"1019",7250780,5,100
"1020",7250781,4,100
"1021",7250783,3,70
"1022",7250784,4,100
"1023",7250786,4,100
"1024",7250791,3,100
"1025",7250791,4,100
"1026",7250791,5,100
"1027",7250792,6,100
"1028",7250794,2,100
"1029",7250797,4,100
"1030",7250801,4,70
"1031",7250808,3,100
"1032",7250815,4,60
"1033",7250822,3,100
"1034",7250823,3,100
"1035",7250828,3,100
"1036",7250831,4,70
"1037",7250833,3,60
"1038",7250836,3,100
"1039",7250837,4,100
"1040",7250843,3,100
"1041",7250844,6,100
"1042",7250845,3,100
"1043",7250845,9,100
"1044",7250847,3,100
"1045",7250849,3,100
"1046",7250861,3,100
"1047",7250862,5,100
"1048",7250867,3,100
"1049",7250867,4,100
"1050",7250874,4,100
"1051",7250875,3,100
"1052",7250884,4,100
"1053",7250885,3,100
"1054",7250886,3,100
"1055",7250889,4,100
"1056",7250890,5,100
"1057",7250902,6,100
"1058",7250902,7,100
"1059",7250905,4,100
"1060",7250907,2,100
"1061",7250918,2,100
"1062",7250918,3,100
"1063",7250921,5,100
"1064",7250925,6,100
"1065",7250932,4,100
"1066",7250935,2,100
"1067",7250945,3,100
"1068",7250946,3,70
"1069",7250948,4,100
"1070",7250949,3,100
"1071",7250950,3,100
"1072",7250954,4,100
"1073",7250965,3,100
"1074",7250965,4,100
"1075",7250966,3,100
"1076",7250967,5,100
"1077",7250977,3,100
"1078",7250983,4,100
"1079",7250984,6,100
"1080",7250991,4,100
"1081",7250993,3,100
"1082",7250993,4,100
"1083",7250995,2,100
"1084",7250998,4,100
"1085",7250998,5,100
"1086",7251004,8,100
"1087",7251004,9,100
"1088",7251005,3,100
"1089",7251005,5,100
"1090",7251008,3,100
"1091",7251009,5,100
"1092",7251009,6,100
"1093",7251013,2,100
"1094",7251014,3,100
"1095",7251022,3,100
"1096",7251022,4,100
"1097",7251026,4,100
"1098",7251031,3,100
"1099",7251033,5,100
"1100",7251038,3,100
"1101",7251039,3,100
"1102",7251042,4,100
"1103",7251042,5,100
"1104",7251042,6,100
"1105",7251045,3,100
"1106",7251048,5,70
"1107",7251054,4,100
"1108",7251058,3,100
"1109",7251060,3,100
"1110",7251061,6,100
"1111",7251066,4,100
"1112",7251068,4,100
"1113",7251069,3,100
"1114",7251070,3,100
"1115",7251080,4,100
"1116",7251081,3,100
"1117",7251081,4,100
"1118",7251104,2,100
"1119",7251105,4,100
"1120",7251110,4,100
"1121",7251110,5,100
"1122",7251111,3,100
"1123",7251111,4,100
"1124",7251123,4,100
"1125",7251123,5,100
"1126",7251123,6,100
"1127",7251127,3,100
"1128",7251129,3,100
"1129",7251134,4,100
"1130",7251149,3,100
"1131",7251158,3,100
"1132",7251175,2,100
"1133",7251175,3,100
"1134",7251181,4,100
"1135",7251189,2,100
"1136",7251195,3,100
"1137",7251233,5,100
"1138",7251238,3,100
"1139",7251247,3,100
"1140",7251250,3,70
"1141",7251257,7,100
"1142",7251262,4,100
"1143",7251265,3,100
"1144",7251267,4,100
"1145",7251271,3,100
"1146",7251271,4,100
"1147",7251286,5,100
"1148",7251289,6,100
"1149",7251289,7,100
"1150",7251290,3,100
"1151",7251293,3,100
"1152",7251296,3,100
"1153",7251296,4,100
"1154",7251297,3,100
"1155",7251303,3,100
"1156",7251303,4,100
"1157",7251305,3,100
"1158",7251313,5,100
"1159",7251322,4,100
"1160",7251324,2,100
"1161",7251329,2,100
"1162",7251344,4,100
"1163",7251347,5,100
"1164",7251357,3,100
"1165",7251367,3,100
"1166",7251369,3,100
"1167",7251370,3,100
"1168",7251375,3,100
"1169",7251384,3,60
"1170",7251398,3,100
"1171",7251401,3,100
"1172",7251405,3,100
"1173",7251413,3,100
"1174",7251416,4,100
"1175",7251417,4,100
"1176",7251426,4,100
"1177",7251428,6,100
"1178",7251441,3,100
"1179",7251445,10,60
"1180",7251445,9,60
"1181",7251448,4,100
"1182",7251449,5,100
"1183",7251451,6,100
"1184",7251455,5,70
"1185",7251468,5,100
"1186",7251468,6,100
"1187",7251479,4,100
"1188",7251481,3,100
"1189",7251482,3,100
"1190",7251489,2,100
"1191",7251491,3,100
"1192",7251501,4,100
"1193",7251510,4,100
"1194",7251511,3,100
"1195",7251531,2,100
"1196",7251555,3,100
"1197",7251555,4,100
"1198",7251569,3,100
"1199",7251569,4,100
"1200",7251597,4,100
"1201",7251599,3,100
"1202",7251600,2,100
"1203",7251603,5,100
"1204",7251605,4,100
"1205",7251605,5,100
"1206",7251609,4,100
"1207",7251612,10,100
"1208",7251612,9,100
"1209",7251615,3,100
"1210",7251618,3,100
"1211",7251622,4,100
"1212",7251624,3,100
"1213",7251625,3,100
"1214",7251626,5,100
"1215",7251628,4,100
"1216",7251631,3,100
"1217",7251634,4,100
"1218",7251638,4,100
"1219",7251639,3,100
"1220",7251641,4,100
"1221",7251641,5,100
"1222",7251646,5,100
"1223",7251646,6,100
"1224",7251652,3,100
"1225",7251661,4,100
"1226",7251661,5,100
"1227",7251669,2,100
"1228",7251673,3,100
"1229",7251682,3,70
"1230",7251685,3,100
"1231",7251688,3,100
"1232",7251692,3,100
"1233",7251692,4,100
"1234",7251709,3,100
"1235",7251711,3,100
"1236",7251725,3,100
"1237",7251728,3,100
