"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"1169",7250781,4,64
"1170",7250783,3,22
"1171",7250784,3,64
"1172",7250784,4,48
"1173",7250786,4,64
"1174",7250791,3,48
"1175",7250791,4,48
"1176",7250791,5,40
"1177",7250792,6,40
"1178",7250794,2,48
"1179",7250796,5,56
"1180",7250797,3,64
"1181",7250797,4,56
"1182",7250801,4,18
"1183",7250808,3,48
"1184",7250815,4,32
"1185",7250817,2,64
"1186",7250822,3,64
"1187",7250823,3,48
"1188",7250828,3,48
"1189",7250831,4,28
"1190",7250833,3,48
"1191",7250836,3,64
"1192",7250837,3,64
"1193",7250837,4,64
"1194",7250843,3,48
"1195",7250844,6,48
"1196",7250845,3,48
"1197",7250845,9,48
"1198",7250847,2,48
"1199",7250847,3,48
"1200",7250849,3,48
"1201",7250861,3,48
"1202",7250862,5,32
"1203",7250867,3,32
"1204",7250867,4,32
"1205",7250874,4,64
"1206",7250875,3,48
"1207",7250884,4,48
"1208",7250885,3,48
"1209",7250886,3,48
"1210",7250889,4,48
"1211",7250890,5,48
"1212",7250902,6,48
"1213",7250902,7,48
"1214",7250905,4,48
"1215",7250907,2,48
"1216",7250918,2,64
"1217",7250918,3,64
"1218",7250921,5,48
"1219",7250925,6,32
"1220",7250932,4,48
"1221",7250935,2,40
"1222",7250936,4,48
"1223",7250938,4,48
"1224",7250945,3,64
"1225",7250946,3,48
"1226",7250948,4,64
"1227",7250949,3,48
"1228",7250950,3,48
"1229",7250954,4,32
"1230",7250965,3,64
"1231",7250965,4,56
"1232",7250966,3,56
"1233",7250967,5,64
"1234",7250977,3,24
"1235",7250983,4,48
"1236",7250984,6,48
"1237",7250991,4,40
