"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"522",7248646,2,23
"523",7248648,2,36
"524",7248651,1,36
"525",7248654,1,36
"526",7248655,1,36
"527",7248656,1,36
"528",7248657,1,16
"529",7248661,1,23
"530",7248663,1,36
"531",7248663,2,36
"532",7248664,1,36
"533",7248666,2,36
"534",7248667,1,23
"535",7248668,1,23
"536",7248669,2,36
"537",7248670,1,23
"538",7248674,1,16
"539",7248674,2,36
"540",7248675,1,36
"541",7248676,1,23
"542",7248677,5,36
"543",7248679,1,51
"544",7248679,2,36
"545",7248680,1,36
"546",7248682,3,36
"547",7248682,4,36
"548",7248683,1,23
"549",7248684,1,36
"550",7248688,1,16
"551",7248688,2,16
"552",7248689,1,36
"553",7248689,2,36
"554",7248693,1,23
"555",7248694,4,23
"556",7248697,1,23
"557",7248699,1,21
"558",7248699,2,36
"559",7248701,1,23
"560",7248702,1,23
"561",7248702,2,23
"562",7248703,3,23
"563",7248704,1,23
"564",7248705,1,23
"565",7248708,1,36
"566",7248710,1,3
"567",7248710,2,23
"568",7248711,1,23
"569",7248711,2,23
"570",7248713,1,36
"571",7248713,2,36
"572",7248714,1,23
"573",7248715,1,23
"574",7248716,2,3
"575",7248720,1,23
"576",7248722,1,23
"577",7248723,1,23
"578",7248724,1,23
"579",7248726,1,23
"580",7248727,1,23
"581",7248727,2,23
"582",7248729,1,36
"583",7248730,1,23
"584",7248732,1,23
"585",7248733,1,23
"586",7248735,1,23
"587",7248736,1,54
"588",7248737,1,23
"589",7248739,2,1
"590",7248740,1,23
"591",7248742,1,23
"592",7248742,2,3
"593",7248743,1,23
"594",7248745,1,31
"595",7248745,2,31
"596",7248746,1,3
"597",7248746,2,23
"598",7248747,1,16
"599",7248749,1,60
"600",7248753,1,3
"601",7248756,1,64
"602",7248756,1,23
"603",7248759,1,23
"604",7248759,2,23
"605",7248764,1,23
"606",7248764,2,23
"607",7248765,1,23
"608",7248765,2,23
"609",7248768,1,36
"610",7248768,2,23
"611",7248769,1,23
"612",7248769,2,16
"613",7248770,1,23
"614",7248772,1,23
"615",7248777,1,36
"616",7248780,1,36
"617",7248781,1,3
"618",7248782,1,36
"619",7248782,2,1
"620",7248786,1,36
"621",7248786,2,23
"622",7248793,1,36
"623",7248793,2,36
"624",7248794,1,36
"625",7248795,8,23
"626",7248795,9,3
"627",7248801,1,36
"628",7248801,2,3
"629",7248802,1,36
"630",7248804,1,36
"631",7248804,2,36
"632",7248808,5,52
"633",7248811,1,68
"634",7248813,1,51
"635",7248815,1,51
"636",7248818,1,53
"637",7248818,2,51
"638",7248825,2,21
"639",7248834,1,23
"640",7248834,2,29
"641",7248843,1,44
"642",7248844,1,29
"643",7248848,1,23
"644",7248849,2,23
"645",7248850,1,52
"646",7248851,1,51
"647",7248852,1,52
"648",7248853,1,52
"649",7248861,1,54
"650",7248862,1,31
"651",7248868,1,23
"652",7248870,1,51
"653",7248871,1,36
"654",7248878,1,23
"655",7248880,1,16
"656",7248884,1,56
"657",7248886,1,36
"658",7248886,2,16
"659",7248892,3,36
"660",7248896,1,3
"661",7248899,1,56
"662",7248900,5,52
"663",7248901,1,66
"664",7248903,1,51
"665",7248906,4,56
"666",7248907,1,36
"667",7248907,2,36
"668",7248908,1,16
"669",7248909,4,36
"670",7248912,1,31
"671",7248913,1,3
"672",7248914,1,21
"673",7248918,1,54
"674",7248918,2,3
"675",7248919,1,36
"676",7248924,1,23
"677",7248925,1,16
"678",7248929,4,3
"679",7248931,1,52
"680",7248937,2,3
"681",7248944,1,43
"682",7248944,1,23
"683",7248944,2,23
"684",7248944,2,36
"685",7248945,1,29
"686",7248948,5,23
"687",7248949,1,69
"688",7248949,2,66
"689",7248949,3,44
"690",7248951,4,3
"691",7248952,1,23
"692",7248952,2,3
"693",7248953,1,21
"694",7248956,1,3
"695",7248958,1,21
"696",7248959,1,23
"697",7248963,2,53
"698",7248965,1,58
"699",7248970,1,57
"700",7248971,1,76
"701",7248971,2,54
"702",7248972,1,59
"703",7248972,2,56
"704",7248972,3,36
"705",7248974,1,51
"706",7248976,1,23
"707",7248976,2,51
"708",7248980,1,16
"709",7248983,4,52
"710",7248987,1,51
"711",7248987,2,61
"712",7248988,1,23
"713",7248989,1,54
"714",7248990,1,61
"715",7248990,2,57
"716",7248990,3,56
"717",7248992,2,64
"718",7248993,1,3
"719",7248995,1,60
"720",7248999,1,62
"721",7248999,2,52
"722",7249000,1,53
"723",7249000,2,54
"724",7249002,1,36
"725",7249003,1,55
"726",7249003,2,54
"727",7249006,2,23
"728",7249008,1,54
"729",7249008,2,54
"730",7249009,3,65
"731",7249012,1,23
"732",7249012,2,23
"733",7249014,1,23
"734",7249016,1,53
"735",7249016,7,51
"736",7249019,3,54
"737",7249020,4,3
"738",7249020,5,58
"739",7249022,1,36
"740",7249022,2,23
"741",7249023,1,36
"742",7249024,1,50
"743",7249025,1,54
"744",7249026,1,29
"745",7249028,1,23
"746",7249029,1,3
"747",7249030,1,53
"748",7249032,1,69
"749",7249034,1,58
"750",7249035,1,31
"751",7249035,2,31
"752",7249040,6,3
"753",7249041,1,53
"754",7249043,1,54
"755",7249044,1,23
"756",7249045,1,23
"757",7249046,1,23
"758",7249048,1,23
"759",7249048,2,23
"760",7249049,1,44
"761",7249049,2,54
"762",7249052,1,62
"763",7249055,5,36
"764",7249057,4,55
"765",7249078,1,54
"766",7249080,1,23
"767",7249080,2,3
"768",7249081,1,23
"769",7249083,1,3
"770",7249084,1,3
"771",7249085,1,36
"772",7249088,1,3
"773",7249088,2,3
"774",7249096,1,31
"775",7249100,1,44
"776",7249106,1,36
"777",7249107,1,16
"778",7249114,1,36
"779",7249124,1,54
"780",7249127,2,36
"781",7249128,1,16
"782",7249128,2,50
"783",7249136,1,36
"784",7249143,1,1
"785",7249143,2,21
"786",7249144,1,53
"787",7249146,1,36
"788",7249146,2,36
"789",7249147,1,16
"790",7249148,1,70
"791",7249149,1,16
"792",7249154,1,23
"793",7249154,2,23
"794",7249155,1,21
"795",7249155,2,21
"796",7249156,1,3
"797",7249156,2,23
"798",7249161,1,21
"799",7249162,1,52
"800",7249164,1,23
"801",7249165,1,21
"802",7249165,2,21
"803",7249171,4,3
"804",7249172,1,3
"805",7249178,1,54
"806",7249180,4,52
"807",7249184,1,54
"808",7249185,1,3
"809",7249186,1,23
"810",7249186,2,36
"811",7249190,1,29
"812",7249193,1,23
"813",7249197,1,54
"814",7249202,1,51
"815",7249203,1,3
"816",7249205,1,23
"817",7249205,2,23
"818",7249208,1,31
"819",7249209,1,52
"820",7249215,1,23
"821",7249216,1,62
"822",7249216,2,60
"823",7249216,3,4
"824",7249217,1,68
"825",7249218,1,48
"826",7249221,1,52
"827",7249221,2,16
"828",7249222,1,23
"829",7249224,1,65
"830",7249224,2,3
"831",7249229,5,3
"832",7249232,4,23
"833",7249233,1,23
"834",7249246,1,23
"835",7249246,2,23
"836",7249248,1,44
"837",7249248,2,53
"838",7249251,1,23
"839",7249251,2,3
"840",7249252,7,3
"841",7249254,1,16
"842",7249254,1,60
"843",7249257,1,44
"844",7249257,2,44
"845",7249258,1,23
"846",7249262,1,23
"847",7249262,2,23
"848",7249263,1,23
"849",7249263,2,31
"850",7249265,2,3
"851",7249266,1,23
"852",7249268,1,62
"853",7249274,1,3
"854",7249281,1,69
"855",7249284,2,3
"856",7249285,1,3
"857",7249292,1,36
"858",7249292,2,16
"859",7249301,1,52
"860",7249309,1,3
"861",7249328,1,23
"862",7249338,3,3
"863",7249340,1,56
"864",7249349,6,16
"865",7249350,1,23
"866",7249350,2,3
"867",7249365,9,3
"868",7249371,1,3
"869",7249380,1,36
"870",7249381,1,21
"871",7249383,1,16
"872",7249388,1,36
"873",7249391,2,16
"874",7249395,1,16
"875",7249397,2,3
"876",7249399,1,16
"877",7249399,2,16
"878",7249403,1,16
"879",7249411,3,3
"880",7249412,1,61
"881",7249416,1,56
"882",7249438,1,36
"883",7249438,2,36
"884",7249446,1,23
"885",7249455,1,66
"886",7249462,1,51
"887",7249462,1,29
"888",7249463,1,3
"889",7249465,2,44
"890",7249474,1,3
"891",7249491,1,44
"892",7249492,1,44
"893",7249494,1,1
