"","SECUENCIA_ENCUESTA","DIRECTORIO","SECUENCIA_P","Satisfaccion"
"2649",1,7258708,1,68
"2650",1,7258712,1,63
"2651",1,7258713,1,75
"2652",1,7258717,1,73
"2653",1,7258718,1,71
"2654",1,7258720,1,69
"2655",1,7258724,1,65.5
"2656",1,7258728,1,64
"2657",1,7258729,1,68
"2658",1,7258732,1,56
"2659",1,7258734,1,71
"2660",1,7258737,1,71
"2661",1,7258738,1,68
"2662",1,7258739,1,69
"2663",1,7258741,1,75
"2664",1,7258749,1,70
"2665",1,7258750,1,71
"2666",1,7258755,1,68.5
"2667",1,7258759,1,71
"2668",1,7258760,1,71
"2669",1,7258762,1,69.5
"2670",1,7258769,1,65.5
"2671",1,7258773,1,68.5
"2672",1,7258775,1,59
"2673",1,7258777,1,68.5
"2674",1,7258780,1,67
"2675",1,7258782,1,69.5
"2676",1,7258786,1,61
"2677",1,7258787,1,52.5
"2678",1,7258793,1,72
"2679",1,7258797,1,75
"2680",1,7258799,1,65.5
"2681",1,7258809,1,57
"2682",1,7258810,1,65
"2683",1,7258811,1,72
"2684",1,7258817,1,74
"2685",1,7258826,1,75
"2686",1,7258828,1,65
"2687",1,7258829,1,63
"2688",1,7258836,1,65
"2689",1,7258838,1,61.5
"2690",1,7258839,1,65
"2691",1,7258843,1,71
"2692",1,7258845,1,71
"2693",1,7258850,1,63.5
"2694",1,7258852,1,68
"2695",1,7258854,1,71
"2696",1,7258855,1,71
"2697",1,7258859,1,65.5
"2698",1,7258860,1,71.5
"2699",1,7258861,1,67.5
"2700",1,7258864,1,67.5
"2701",1,7258866,1,74
"2702",1,7258868,1,65.5
"2703",1,7258873,1,70
"2704",1,7258875,1,58
"2705",1,7258876,1,54.5
"2706",1,7258879,1,70
"2707",1,7258882,1,71
"2708",1,7258883,1,67.5
"2709",1,7258887,1,64
"2710",1,7258889,1,71
"2711",1,7258890,1,65
"2712",1,7258891,1,61.5
"2713",1,7258892,1,62.5
"2714",1,7258906,1,62.5
"2715",1,7258907,1,69
"2716",1,7258908,1,65
"2717",1,7258911,1,63.5
"2718",1,7258913,1,65
"2719",1,7258923,1,75
"2720",1,7258925,1,71
"2721",1,7258929,1,63
"2722",1,7258932,1,61.5
"2723",1,7258946,1,64.5
"2724",1,7258949,1,71.5
"2725",1,7258950,1,71.5
"2726",1,7258952,1,62
"2727",1,7258953,1,60
"2728",1,7258958,1,68.5
"2729",1,7258959,1,60.5
"2730",1,7258970,1,71
"2731",1,7258974,1,53
"2732",1,7258977,1,74
"2733",1,7258984,1,63.5
"2734",1,7258987,1,68.5
"2735",1,7258990,1,73
"2736",1,7258993,1,70
"2737",1,7259002,1,70.5
"2738",1,7259003,1,66
"2739",1,7259004,1,69.5
"2740",1,7259005,1,68
"2741",1,7259006,1,68.5
"2742",1,7259010,1,69
"2743",1,7259015,1,61
"2744",1,7259024,1,54
"2745",1,7259025,1,70
"2746",1,7259029,1,75
"2747",1,7259033,1,63.5
"2748",1,7259036,1,70
"2749",1,7259037,1,69
"2750",1,7259039,1,71.5
"2751",1,7259043,1,66
"2752",1,7259046,1,68
"2753",1,7259047,1,66
"2754",1,7259050,1,75
"2755",1,7259055,1,68.5
"2756",1,7259058,1,63
"2757",1,7259060,1,73
"2758",1,7259061,1,75
"2759",1,7259062,1,56.5
"2760",1,7259063,1,69
"2761",1,7259066,1,55.5
"2762",1,7259067,1,59.5
"2763",1,7259080,1,53
"2764",1,7259097,1,65
"2765",1,7259105,1,74
"2766",1,7259106,1,70
"2767",1,7259114,1,65.5
"2768",1,7259117,1,65.5
"2769",1,7259122,1,68.5
"2770",1,7259123,1,74
"2771",1,7259127,1,66.5
"2772",1,7259130,1,64
"2773",1,7259135,1,65
"2774",1,7259137,1,64.5
"2775",1,7259151,1,71
"2776",1,7259153,1,66.5
"2777",1,7259156,1,61
"2778",1,7259170,1,67
"2779",1,7259172,1,71
"2780",1,7259176,1,68.5
"2781",1,7259182,1,71
"2782",1,7259187,1,71
"2783",1,7259188,1,68
"2784",1,7259194,1,71
"2785",1,7259195,1,70
"2786",1,7259201,1,66
"2787",1,7259202,1,58
"2788",1,7259205,1,68.5
"2789",1,7259211,1,75
"2790",1,7259216,1,71
"2791",1,7259222,1,70.5
"2792",1,7259224,1,70
"2793",1,7259227,1,71
"2794",1,7259231,1,67
"2795",1,7259236,1,67
"2796",1,7259238,1,61.5
"2797",1,7259242,1,71
"2798",1,7259251,1,71
"2799",1,7259255,1,71
"2800",1,7259261,1,71
"2801",1,7259270,1,60.5
"2802",1,7259272,1,55.5
"2803",1,7259273,1,68.5
"2804",1,7259274,1,67
"2805",1,7259275,1,71
"2806",1,7259278,1,68
"2807",1,7259281,1,71
"2808",1,7259286,1,64
"2809",1,7259289,1,69.5
"2810",1,7259290,1,64.5
"2811",1,7259297,3,68
"2812",1,7259302,1,75
"2813",1,7259303,1,73
"2814",1,7259308,1,71
"2815",1,7259313,1,69
"2816",1,7259314,1,75
"2817",1,7259322,1,63
"2818",1,7259323,1,71.5
"2819",1,7259328,1,76
"2820",1,7259330,1,67
"2821",1,7259339,1,71
"2822",1,7259342,1,65.5
"2823",1,7259351,1,61
"2824",1,7259355,1,68.5
"2825",1,7259357,1,68.5
"2826",1,7259358,1,74
"2827",1,7259362,1,70
"2828",1,7259367,1,71
"2829",1,7259368,1,72
"2830",1,7259378,1,59
"2831",1,7259379,1,68.5
"2832",1,7259382,1,48.5
"2833",1,7259390,1,61
"2834",1,7259398,1,67.5
"2835",1,7259401,1,70
"2836",1,7259406,1,68.5
"2837",1,7259407,1,56
"2838",1,7259416,1,68
"2839",1,7259418,1,68
"2840",1,7259424,1,66
"2841",1,7259430,1,70
"2842",1,7259435,1,67.5
"2843",1,7259438,1,69.5
"2844",1,7259440,1,69.5
"2845",1,7259444,1,68.5
"2846",1,7259448,1,63
"2847",1,7259451,1,73
"2848",1,7259454,1,71
"2849",1,7259458,1,64.5
"2850",1,7259466,1,66.5
"2851",1,7259469,1,64.5
"2852",1,7259479,1,71
"2853",1,7259483,1,55
"2854",1,7259498,1,64
"2855",1,7259501,1,61.5
"2856",1,7259509,1,56.5
"2857",1,7259512,1,64.5
"2858",1,7259514,1,71
"2859",1,7259532,1,68.5
"2860",1,7259538,1,68
"2861",1,7259539,1,67
"2862",1,7259548,1,61.5
"2863",1,7259555,1,60.5
"2864",1,7259560,1,64.5
"2865",1,7259566,1,66.5
"2866",1,7259568,1,68.5
"2867",1,7259575,1,68.5
"2868",1,7259576,1,67.5
"2869",1,7259578,1,69
"2870",1,7259583,1,61
"2871",1,7259594,1,70
"2872",1,7259598,1,60.5
"2873",1,7259599,1,68.5
"2874",1,7259606,1,72.5
"2875",1,7259611,1,61.5
"2876",1,7259612,1,70.5
"2877",1,7259619,1,67
"2878",1,7259629,1,61.5
"2879",1,7259632,1,69
"2880",1,7259635,1,70
"2881",1,7259638,1,68
"2882",1,7259640,1,71
"2883",1,7259641,1,70
"2884",1,7259646,1,68.5
"2885",1,7259660,1,72.5
"2886",1,7259666,1,71
"2887",1,7259670,1,72
"2888",1,7259671,1,74
"2889",1,7259673,1,67
"2890",1,7259674,1,68
"2891",1,7259679,1,71.5
"2892",1,7259691,1,63
"2893",1,7259695,1,67
"2894",1,7259696,1,62.5
"2895",1,7259700,1,67
"2896",1,7259702,1,69.5
"2897",1,7259710,1,55
"2898",1,7259730,1,65.5
"2899",1,7259731,1,67
"2900",1,7259732,1,60.5
"2901",1,7259733,1,66
"2902",1,7259735,1,71.5
"2903",1,7259737,1,68.5
"2904",1,7259745,1,67
"2905",1,7259757,1,58
"2906",1,7259762,1,60.5
"2907",1,7259763,1,58.5
"2908",1,7259772,1,67
"2909",1,7259774,1,59
"2910",1,7259775,1,68
"2911",1,7259783,1,66.5
"2912",1,7259785,1,66.5
"2913",1,7259791,1,65.5
"2914",1,7259797,1,68.5
"2915",1,7259807,2,66
"2916",1,7259820,1,60
"2917",1,7259822,1,63.5
"2918",1,7259824,1,56
"2919",1,7259825,1,68
"2920",1,7259830,1,71
"2921",1,7259838,1,48.5
"2922",1,7259856,1,64.5
"2923",1,7259868,1,45.5
"2924",1,7259875,1,59.5
"2925",1,7259883,1,71
"2926",1,7259894,1,70
"2927",1,7259898,1,71
"2928",1,7259900,1,64
"2929",1,7259905,1,68.5
"2930",1,7259907,1,65.5
"2931",1,7259908,1,60
"2932",1,7259909,1,69.5
"2933",1,7259911,1,65
"2934",1,7259913,1,68.5
"2935",1,7259917,1,69
"2936",1,7259920,1,64
"2937",1,7259922,1,62
"2938",1,7260002,1,68.5
"2939",1,7260004,1,65.5
"2940",1,7260007,1,68
"2941",1,7260013,1,69
"2942",1,7260014,1,68.5
"2943",1,7260015,1,75
"2944",1,7260026,1,70
"2945",1,7260030,1,71
"2946",1,7260043,1,71
"2947",1,7260044,1,71
"2948",1,7260050,1,71
"2949",1,7260057,1,42.5
"2950",1,7260065,1,68
"2951",1,7260066,1,71
"2952",1,7260076,1,62.5
"2953",1,7260077,1,58
"2954",1,7260078,1,71
"2955",1,7260083,1,69
"2956",1,7260088,1,61.5
"2957",1,7260103,1,58
"2958",1,7260105,1,71
"2959",1,7260106,1,66
"2960",1,7260107,1,71
"2961",1,7260108,1,66
"2962",1,7260110,1,71
"2963",1,7260114,1,67
"2964",1,7260116,1,66.5
"2965",1,7260118,1,69
"2966",1,7260119,1,65.5
"2967",1,7260122,1,50.5
"2968",1,7260126,1,68
"2969",1,7260135,1,68.5
"2970",1,7260137,1,68.5
"2971",1,7260139,1,69
"2972",1,7260142,1,73
"2973",1,7260150,1,67
"2974",1,7260158,1,65.5
"2975",1,7260159,1,56.5
"2976",1,7260160,1,68.5
"2977",1,7260166,1,69
"2978",1,7260168,1,65.5
"2979",1,7260170,1,69
"2980",1,7260171,1,68
"2981",1,7260174,1,63
"2982",1,7260176,1,61
"2983",1,7260181,1,72
"2984",1,7260185,1,72
"2985",1,7260189,1,73
"2986",1,7260192,1,64
"2987",1,7260193,1,71
"2988",1,7260195,1,63
"2989",1,7260197,1,67
"2990",1,7260198,1,70
"2991",1,7260200,1,56
"2992",1,7260202,1,72.5
"2993",1,7260206,1,69
"2994",1,7260208,1,64.5
"2995",1,7260213,1,68.5
"2996",1,7260214,1,72.5
"2997",1,7260216,1,65
"2998",1,7260219,1,74
"2999",1,7260222,1,63.5
"3000",1,7260224,1,67
"3001",1,7260225,1,54
"3002",1,7260227,1,65
"3003",1,7260229,1,73
"3004",1,7260230,1,62
"3005",1,7260232,1,59.5
"3006",1,7260237,1,74
"3007",1,7260242,1,72.5
"3008",1,7260245,1,71.5
"3009",1,7260250,1,69
"3010",1,7260252,1,74
"3011",1,7260253,1,72.5
"3012",1,7260256,1,74
"3013",1,7260265,1,67
"3014",1,7260266,1,65
"3015",1,7260285,1,70
"3016",1,7260286,1,71.5
"3017",1,7260309,1,71
"3018",1,7260310,1,72
"3019",1,7260314,1,67
"3020",1,7260323,1,67.5
"3021",1,7260328,1,68
"3022",1,7260329,1,61.5
"3023",1,7260334,1,64.5
"3024",1,7260339,1,55.5
"3025",1,7260353,1,75
"3026",1,7260360,1,66
"3027",1,7260363,1,67.5
"3028",1,7260364,1,63.5
"3029",1,7260374,1,75
"3030",1,7260375,1,72
"3031",1,7260379,1,65.5
"3032",1,7260383,1,69.5
"3033",1,7260384,1,75
"3034",1,7260385,1,65.5
"3035",1,7260386,1,65.5
"3036",1,7260387,1,63
"3037",1,7260395,1,71
"3038",1,7260398,1,64
"3039",1,7260420,1,66
"3040",1,7260425,1,68.5
"3041",1,7260435,1,68
"3042",1,7260454,1,62.5
"3043",1,7260459,1,68.5
"3044",1,7260460,1,64
"3045",1,7260463,1,69.5
"3046",1,7260469,1,69
"3047",1,7260472,1,75
"3048",1,7260473,1,70
"3049",1,7260474,1,72
"3050",1,7260475,1,70
"3051",1,7260480,1,68.5
"3052",1,7260483,1,61.5
"3053",1,7260485,1,75
"3054",1,7260486,1,71
"3055",1,7260487,1,72
"3056",1,7260491,1,75
"3057",1,7260496,1,71.5
"3058",1,7260503,1,75
"3059",1,7260504,1,71.5
"3060",1,7260506,1,70
"3061",1,7260509,1,51
"3062",1,7260511,1,66.5
"3063",1,7260522,1,68.5
"3064",1,7260524,1,69.5
"3065",1,7260531,1,68.5
"3066",1,7260533,1,70.5
"3067",1,7260536,1,71
"3068",1,7260538,1,61.5
"3069",1,7260546,1,75
"3070",1,7260558,1,71.5
"3071",1,7260560,1,72.5
"3072",1,7260565,1,71
"3073",1,7260568,1,71.5
"3074",1,7260574,1,63
"3075",1,7260575,1,75
"3076",1,7260583,1,72.5
"3077",1,7260585,1,62
"3078",1,7260587,1,71
"3079",1,7260589,1,65
"3080",1,7260590,1,61.5
"3081",1,7260596,1,70
"3082",1,7260597,1,72.5
"3083",1,7260599,1,62.5
"3084",1,7260606,1,71
"3085",1,7260608,1,72
"3086",1,7260620,1,66
"3087",1,7260625,1,68
"3088",1,7260627,1,72.5
"3089",1,7260659,1,65
"3090",1,7260672,1,65.5
"3091",1,7260681,1,74
"3092",1,7260690,1,50
"3093",1,7260693,1,62.5
"3094",1,7260697,1,75
"3095",1,7260701,1,69
"3096",1,7260708,1,66
"3097",1,7260712,1,75
"3098",1,7260713,1,69.5
"3099",1,7260719,1,75
"3100",1,7260722,1,75
"3101",1,7260727,1,65
"3102",1,7260743,1,68
"3103",1,7260750,1,75
"3104",1,7260752,1,66.5
"3105",1,7260772,1,75
"3106",1,7260779,1,74
"3107",1,7260786,1,72
"3108",1,7260796,1,68
"3109",1,7260799,1,71
"3110",1,7260809,1,65
"3111",1,7260820,1,72
"3112",1,7260826,1,64.5
"3113",1,7260827,1,65
"3114",1,7260837,1,72.5
"3115",1,7260854,1,73
"3116",1,7260856,1,74
"3117",1,7260860,1,71
"3118",1,7260861,1,66
"3119",1,7260863,1,76
"3120",1,7260865,1,74
"3121",1,7260866,1,75
"3122",1,7260885,1,66.5
"3123",1,7260894,1,75
"3124",1,7260896,1,69.5
"3125",1,7260898,1,72
"3126",1,7260903,1,66.5
"3127",1,7260909,1,50.5
"3128",1,7260910,1,62
"3129",1,7260916,1,70
"3130",1,7260920,1,72
"3131",1,7260929,1,64
"3132",1,7260933,1,71
"3133",1,7260947,1,74
"3134",1,7260960,1,62
"3135",1,7260963,1,67.5
"3136",1,7260969,1,66
"3137",1,7260970,1,71
"3138",1,7260982,1,57.5
"3139",1,7260987,1,69
"3140",1,7260989,1,63.5
"3141",1,7260992,1,67
"3142",1,7260997,1,65.5
"3143",1,7261001,1,65.5
"3144",1,7261002,1,70
"3145",1,7261003,1,54.5
"3146",1,7261006,1,67.5
"3147",1,7261017,1,68.5
"3148",1,7261024,1,71
"3149",1,7261048,1,72.5
"3150",1,7261054,1,66.5
"3151",1,7261056,1,73
"3152",1,7261060,1,63
"3153",1,7261062,1,68
"3154",1,7261066,1,70.5
"3155",1,7261075,1,71
"3156",1,7261076,1,71
"3157",1,7261077,1,69.5
"3158",1,7261082,1,66
"3159",1,7261104,1,75
"3160",1,7261105,1,71
"3161",1,7261106,1,71
"3162",1,7261109,1,63
"3163",1,7261113,1,72
"3164",1,7261114,1,53
"3165",1,7261115,1,63
"3166",1,7261118,1,69.5
"3167",1,7261120,1,63
"3168",1,7261122,1,69.5
"3169",1,7261124,1,66
"3170",1,7261128,1,67
"3171",1,7261130,1,71.5
"3172",1,7261137,1,75
"3173",1,7261141,1,71
"3174",1,7261142,1,75
"3175",1,7261144,1,60
"3176",1,7261146,1,72
"3177",1,7261147,1,60
"3178",1,7261149,1,65
"3179",1,7261150,1,68.5
"3180",1,7261157,2,55.5
"3181",1,7261162,1,65
"3182",1,7261163,1,60.5
"3183",1,7261166,1,65.5
"3184",1,7261167,1,64.5
"3185",1,7261168,1,70
"3186",1,7261178,1,71
"3187",1,7261180,1,75
"3188",1,7261187,1,64
"3189",1,7261191,1,74
"3190",1,7261192,1,67
"3191",1,7261194,1,72
"3192",1,7261195,1,60
"3193",1,7261199,1,71
"3194",1,7261200,1,66
"3195",1,7261205,1,71
"3196",1,7261207,1,74
"3197",1,7261215,1,68.5
"3198",1,7261216,1,71
"3199",1,7261224,1,63
"3200",1,7261227,1,72.5
"3201",1,7261252,1,70
"3202",1,7261254,1,73
"3203",1,7261259,1,73
"3204",1,7261263,1,70
"3205",1,7261264,1,67.5
"3206",1,7261266,1,71
"3207",1,7261269,1,64.5
"3208",1,7261273,1,66
"3209",1,7261290,1,70
"3210",1,7261291,1,51
"3211",1,7261293,1,71.5
"3212",1,7261297,1,62.5
"3213",1,7261304,1,72.5
"3214",1,7261305,1,62
"3215",1,7261306,1,66
"3216",1,7261309,1,62
"3217",1,7261312,1,70.5
"3218",1,7261322,1,62
"3219",1,7261323,1,66
"3220",1,7261324,1,68
"3221",1,7261327,1,68.5
"3222",1,7261328,1,75
"3223",1,7261330,1,71
"3224",1,7261332,1,61.5
"3225",1,7261333,1,70
"3226",1,7261334,1,62.5
"3227",1,7261337,1,61
"3228",1,7261341,1,71
"3229",1,7261344,1,62
"3230",1,7261346,1,68.5
"3231",1,7261347,1,63
"3232",1,7261349,1,71
"3233",1,7261354,1,71
"3234",1,7261355,1,66.5
"3235",1,7261357,1,72.5
"3236",1,7261361,1,63.5
"3237",1,7261376,1,68.5
"3238",1,7261377,1,70
"3239",1,7261378,1,71
"3240",1,7261381,1,69
"3241",1,7261385,1,71
"3242",1,7261389,1,75
"3243",1,7261393,1,75
"3244",1,7261397,1,75
"3245",1,7261412,1,70
"3246",1,7261426,1,72
"3247",1,7261433,1,71.5
"3248",1,7261447,1,75
"3249",1,7261457,1,73
"3250",1,7261471,1,69
"3251",1,7261495,1,75
"3252",1,7261500,1,54
"3253",1,7261502,1,69
"3254",1,7261504,1,64
"3255",1,7261512,1,62.5
"3256",1,7261513,1,63.5
"3257",1,7261515,1,68
"3258",1,7261516,1,61.5
"3259",1,7261517,1,68
"3260",1,7261522,1,66
"3261",1,7261532,1,65.5
"3262",1,7261537,1,71
"3263",1,7261541,1,65.5
"3264",1,7261546,1,66.5
"3265",1,7261552,1,71
"3266",1,7261554,1,64
"3267",1,7261565,1,62.5
"3268",1,7261567,1,68
"3269",1,7261575,1,63
"3270",1,7261576,1,50
"3271",1,7261586,1,64.5
"3272",1,7261594,1,78
"3273",1,7261596,1,69.5
"3274",1,7261598,1,67
"3275",1,7261599,1,74
"3276",1,7261600,1,70
"3277",1,7261602,1,75
"3278",1,7261604,1,63
"3279",1,7261612,1,71.5
"3280",1,7261613,1,65.5
"3281",1,7261616,1,60.5
"3282",1,7261617,1,75
"3283",1,7261625,1,73
"3284",1,7261626,1,69
"3285",1,7261629,1,70.5
"3286",1,7261637,1,62.5
"3287",1,7261650,1,62.5
"3288",1,7261666,1,65
"3289",1,7261667,1,71
"3290",1,7261703,1,71
"3291",1,7261708,1,72
"3292",1,7261709,1,65
"3293",1,7261714,1,75
"3294",1,7261720,1,66.5
"3295",1,7261768,1,71
"3296",1,7261770,1,67
"3297",1,7261776,1,68.5
"3298",1,7261782,1,59.5
"3299",1,7261785,1,67.5
"3300",1,7261795,1,64.5
"3301",1,7261796,1,68.5
"3302",1,7261801,1,69
"3303",1,7261808,1,71
"3304",1,7261810,1,68.5
"3305",1,7261820,1,68.5
"3306",1,7261821,1,75
"3307",1,7261829,1,70
"3308",1,7261863,1,61.5
"3309",1,7261880,1,52
"3310",1,7261884,1,68
"3311",1,7261886,1,71
"3312",1,7261887,1,57
"3313",1,7261893,1,68.5
"3314",1,7261903,1,58
"3315",1,7261905,1,53
"3316",1,7261907,1,64
"3317",1,7261912,1,68
"3318",1,7261923,1,59.5
"3319",1,7261925,1,52.5
"3320",1,7261929,1,69
"3321",1,7261936,1,60.5
"3322",1,7261937,1,66.5
"3323",1,7261938,1,60.5
"3324",1,7261940,1,62.5
"3325",1,7261941,1,67
"3326",1,7261942,1,69
"3327",1,7261944,1,52
"3328",1,7261959,1,63.5
"3329",1,7261961,1,68.5
"3330",1,7261962,1,67
"3331",1,7261972,1,70.5
"3332",1,7261973,1,71
"3333",1,7261983,1,69
"3334",1,7261987,1,69
"3335",1,7261991,1,68
"3336",1,7261995,1,66
"3337",1,7261998,1,64.5
"3338",1,7262002,1,64.5
"3339",1,7262004,1,71
"3340",1,7262005,1,72.5
"3341",1,7262007,1,59
"3342",1,7262010,1,72
"3343",1,7262012,1,69
"3344",1,7262016,1,58
"3345",1,7262020,1,66.5
"3346",1,7281191,1,61.5
"3347",1,7281193,1,76
"3348",1,7281195,1,75
"3349",1,7281207,1,67
"3350",1,7281210,1,65.5
"3351",1,7281216,1,69.5
"3352",1,7281221,1,68.5
"3353",1,7281224,1,68.5
"3354",1,7281228,1,71
"3355",1,7281235,1,71
"3356",1,7281252,1,68.5
"3357",1,7281255,1,67.5
"3358",1,7281256,1,71
"3359",1,7281257,1,68.5
"3360",1,7281258,1,69
"3361",1,7281260,1,67
"3362",1,7281264,1,68
"3363",1,7281266,1,67
"3364",1,7281268,1,72.5
"3365",1,7281275,1,68.5
"3366",1,7281277,1,71
"3367",1,7281278,1,65
"3368",1,7281279,1,68.5
"3369",1,7281280,1,68.5
"3370",1,7281311,1,65.5
"3371",1,7281313,1,67.5
"3372",1,7281319,1,65.5
"3373",1,7281335,1,71
"3374",1,7281339,1,71
"3375",1,7281341,1,71
"3376",1,7281348,1,72
"3377",1,7281349,1,70
"3378",1,7281351,1,67.5
"3379",1,7281352,1,73
"3380",1,7281358,1,71
"3381",1,7281359,1,69.5
"3382",1,7281362,1,61.5
"3383",1,7281364,1,73
"3384",1,7281369,1,66.5
"3385",1,7281377,1,60.5
"3386",1,7281379,1,72
"3387",1,7281381,1,53.5
"3388",1,7281383,1,71
"3389",1,7281384,1,69
"3390",1,7281386,1,72.5
"3391",1,7281387,1,58.5
"3392",1,7281403,1,67.5
"3393",1,7281404,1,70
"3394",1,7281414,1,71
"3395",1,7281415,1,70
"3396",1,7281417,1,67
"3397",1,7281419,1,71
"3398",1,7281421,1,71
"3399",1,7281423,1,71
"3400",1,7281425,1,70
"3401",1,7281430,1,59.5
"3402",1,7281434,1,69
"3403",1,7281436,1,71.5
"3404",1,7281437,1,70
"3405",1,7281439,1,75
"3406",1,7281440,1,70
"3407",1,7281445,1,75
"3408",1,7281448,1,68.5
"3409",1,7281453,1,63.5
"3410",1,7281454,1,66
"3411",1,7281459,1,66
"3412",1,7281463,1,71
"3413",1,7281464,1,57.5
"3414",1,7281467,1,72.5
"3415",1,7281468,1,57
"3416",1,7281470,1,65.5
"3417",1,7281471,1,68
"3418",1,7281473,1,71
"3419",1,7281476,1,68
"3420",1,7281479,1,61.5
"3421",1,7281482,1,71
"3422",1,7281484,1,62
"3423",1,7281485,1,66.5
"3424",1,7281486,1,70
"3425",1,7281491,1,71
"3426",1,7281512,1,66
"3427",1,7281513,1,70
"3428",1,7281517,1,73
"3429",1,7281522,1,70
"3430",1,7281531,1,74
"3431",1,7281534,1,69
"3432",1,7281536,1,71
"3433",1,7281543,1,71
"3434",1,7281546,1,71.5
"3435",1,7281549,1,67.5
"3436",1,7281559,1,67.5
"3437",1,7281562,1,71
"3438",1,7281564,1,70
"3439",1,7281564,2,65
"3440",1,7281566,1,75
"3441",1,7281569,1,75
"3442",1,7281572,1,71
"3443",1,7281578,1,68.5
"3444",1,7281604,1,71
"3445",1,7281608,1,75
"3446",1,7281613,1,71
"3447",1,7281619,1,75
"3448",1,7281621,1,70
"3449",1,7281623,1,71.5
"3450",1,7281625,1,71
"3451",1,7281631,1,72.5
"3452",1,7281644,1,72.5
"3453",1,7281648,1,71
"3454",1,7281652,1,70
"3455",1,7281653,1,75
"3456",1,7281654,1,71
"3457",1,7281655,1,71
"3458",1,7281661,1,75
"3459",1,7281664,1,68
"3460",1,7281667,1,76
"3461",1,7281673,1,71.5
"3462",1,7281680,1,71
"3463",1,7281687,1,71
"3464",1,7281693,1,71
"3465",1,7281705,1,75
"3466",1,7281706,1,60.5
"3467",1,7281709,1,70
"3468",1,7281711,1,72
"3469",1,7281712,1,72.5
"3470",1,7281716,1,71.5
"3471",1,7281717,1,72.5
"3472",1,7281718,1,68.5
"3473",1,7281720,1,75
"3474",1,7281721,1,67
"3475",1,7281726,1,59.5
"3476",1,7281733,1,66.5
"3477",1,7281734,1,67
"3478",1,7281737,1,69.5
"3479",1,7281756,1,65.5
"3480",1,7281759,1,71
"3481",1,7281766,1,71
"3482",1,7281779,1,68.5
"3483",1,7281790,1,67
"3484",1,7281793,1,64
"3485",1,7281801,1,73
"3486",1,7281804,1,67
"3487",1,7281819,1,67.5
"3488",1,7281840,1,71.5
"3489",1,7281851,1,69.5
"3490",1,7281860,1,66
"3491",1,7281862,1,75
"3492",1,7281869,1,66
"3493",1,7281874,1,54.5
"3494",1,7281875,1,71
"3495",1,7281878,1,71
"3496",1,7281886,1,68.5
"3497",1,7281889,1,66.5
"3498",1,7281890,1,67.5
"3499",1,7281895,1,71
"3500",1,7281898,1,55
"3501",1,7281901,1,70
"3502",1,7281902,1,71
"3503",1,7281904,1,62.5
"3504",1,7281906,1,66
"3505",1,7281907,1,63
"3506",1,7281909,1,70
"3507",1,7281912,1,65.5
"3508",1,7281917,1,68.5
"3509",1,7281921,1,64
"3510",1,7281922,1,68.5
"3511",1,7281923,1,73
"3512",1,7281927,1,67
"3513",1,7281928,1,69.5
"3514",1,7281931,1,69.5
"3515",1,7281937,1,65.5
"3516",1,7281941,1,64.5
"3517",1,7281944,1,73
"3518",1,7281946,1,69
"3519",1,7281949,1,69
"3520",1,7281950,1,63.5
"3521",1,7281951,1,67
"3522",1,7281952,1,68
"3523",1,7281953,1,68.5
"3524",1,7281955,1,71.5
"3525",1,7281956,1,69
"3526",1,7281964,1,70
"3527",1,7281968,1,65.5
"3528",1,7281971,1,67.5
"3529",1,7281975,1,63
"3530",1,7281979,1,68.5
"3531",1,7281985,1,65.5
"3532",1,7281990,1,71.5
"3533",1,7281996,1,68.5
"3534",1,7282000,1,61
"3535",1,7282003,1,68.5
"3536",1,7282006,1,71
"3537",1,7282007,1,71
"3538",1,7282008,1,68.5
"3539",1,7282009,1,61
"3540",1,7282013,1,68.5
"3541",1,7282018,1,71
"3542",1,7282019,1,68.5
"3543",1,7282022,1,60
"3544",1,7282023,1,71
"3545",1,7282026,1,71
"3546",1,7282027,1,71
"3547",1,7282030,1,71
"3548",1,7282037,1,71
"3549",1,7282038,1,71.5
"3550",1,7282040,1,71
"3551",1,7282046,1,71
"3552",1,7282052,1,68.5
"3553",1,7282057,1,56
"3554",1,7282059,1,72.5
"3555",1,7282060,1,71
"3556",1,7282061,1,57
"3557",1,7282063,1,67.5
"3558",1,7282065,1,62.5
"3559",1,7282070,1,68.5
"3560",1,7282072,1,71
"3561",1,7282073,1,68
"3562",1,7282080,1,62
"3563",1,7282087,1,70.5
"3564",1,7282089,1,67.5
"3565",1,7282090,1,74
"3566",1,7282092,1,63.5
"3567",1,7282103,1,67.5
"3568",1,7282104,1,67.5
"3569",1,7282105,1,67.5
"3570",1,7282115,1,67
"3571",1,7282120,1,71
"3572",1,7282122,1,50.5
"3573",1,7282124,1,68
"3574",1,7282135,1,67
"3575",1,7282139,1,63
"3576",1,7282144,1,71
"3577",1,7282151,1,61.5
"3578",1,7282152,1,68.5
"3579",1,7282153,1,71
"3580",1,7282156,1,68.5
"3581",1,7282158,1,64.5
"3582",1,7282159,1,67
"3583",1,7282160,1,71
"3584",1,7282165,1,66.5
"3585",1,7282166,1,71
"3586",1,7282168,1,71
"3587",1,7282169,1,68.5
"3588",1,7282184,1,65
"3589",1,7282187,1,60
"3590",1,7282191,1,68
"3591",1,7282192,1,72.5
"3592",1,7282195,1,64
"3593",1,7282204,1,68.5
"3594",1,7282205,1,71
