"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"503",7248247,3,87.87
"504",7248247,4,87.87
"505",7248257,3,48.48
"506",7248257,4,48.48
"507",7248258,3,57.57
"508",7248267,3,81.81
"509",7248271,3,81.81
"510",7248271,4,81.81
"511",7248275,3,81.81
"512",7248275,4,81.81
"513",7248278,3,90.9
"514",7248278,4,90.9
"515",7248280,4,66.66
"516",7248281,3,81.81
"517",7248290,6,78.78
"518",7248294,4,69.69
"519",7248294,5,69.69
"520",7248305,3,72.72
"521",7248306,3,81.81
"522",7248311,3,75.75
"523",7248316,4,90.9
"524",7248316,5,90.9
"525",7248316,7,90.9
"526",7248318,4,84.84
"527",7248320,4,81.81
"528",7248323,5,87.87
"529",7248323,6,87.87
"530",7248328,3,81.81
"531",7248330,4,87.87
"532",7248330,5,87.87
"533",7248335,3,87.87
"534",7248336,2,87.87
"535",7248336,3,87.87
"536",7248337,3,90.9
"537",7248339,2,90.9
"538",7248340,4,90.9
"539",7248340,6,90.9
"540",7248340,7,90.9
"541",7248340,8,90.9
"542",7248341,4,84.84
"543",7248342,3,84.84
"544",7248342,6,84.84
"545",7248355,3,63.63
"546",7248359,4,72.72
"547",7248372,3,75.75
"548",7248372,4,75.75
"549",7248375,5,60.6
"550",7248376,3,72.72
"551",7248377,5,66.66
"552",7248387,3,54.54
"553",7248389,4,54.54
"554",7248389,5,54.54
"555",7248390,3,42.42
"556",7248391,7,54.54
"557",7248391,8,54.54
"558",7248392,4,51.51
"559",7248393,7,45.45
"560",7248396,3,45.45
"561",7248397,4,42.42
"562",7248400,3,45.45
"563",7248400,4,45.45
"564",7248401,3,60.6
"565",7248403,3,45.45
"566",7248403,4,45.45
"567",7248407,5,87.87
"568",7248407,6,87.87
"569",7248410,3,90.9
"570",7248413,3,81.81
"571",7248417,3,81.81
"572",7248417,4,81.81
"573",7248421,4,78.78
"574",7248422,3,78.78
"575",7248422,4,78.78
"576",7248425,2,84.84
"577",7248425,3,84.84
"578",7248432,3,90.9
"579",7248432,4,90.9
"580",7248432,5,90.9
"581",7248435,2,81.81
"582",7248435,3,81.81
"583",7248439,3,81.81
"584",7248439,4,81.81
"585",7248446,5,75.75
"586",7248449,3,75.75
"587",7248453,4,78.78
"588",7248458,3,66.66
"589",7248458,4,66.66
"590",7248459,5,84.84
"591",7248460,4,78.78
"592",7248462,5,87.87
"593",7248462,6,87.87
"594",7248472,4,78.78
"595",7248477,3,78.78
"596",7248477,4,78.78
"597",7248477,5,78.78
"598",7248479,3,78.78
"599",7248479,4,78.78
"600",7248480,5,72.72
"601",7248481,3,75.75
"602",7248481,4,75.75
"603",7248482,2,72.72
"604",7248490,2,63.63
"605",7248495,3,81.81
"606",7248495,4,81.81
"607",7248500,4,81.81
"608",7248502,3,81.81
"609",7248507,3,90.9
"610",7248507,4,90.9
"611",7248511,3,90.9
"612",7248511,4,90.9
"613",7248512,4,81.81
"614",7248517,2,78.78
"615",7248517,3,78.78
"616",7248518,4,81.81
"617",7248518,5,81.81
"618",7248523,2,51.51
"619",7248542,6,51.51
"620",7248542,8,51.51
"621",7248543,6,51.51
"622",7248549,4,54.54
"623",7248555,2,81.81
"624",7248555,3,81.81
"625",7248562,3,54.54
"626",7248562,4,54.54
"627",7248571,3,69.69
"628",7248571,4,69.69
"629",7248573,3,54.54
"630",7248573,4,54.54
"631",7248576,3,60.6
"632",7248584,4,54.54
"633",7248589,2,54.54
"634",7248595,3,60.6
"635",7248595,4,60.6
"636",7248599,4,54.54
"637",7248605,3,60.6
"638",7248608,3,45.45
"639",7248611,3,60.6
"640",7248617,4,63.63
"641",7248626,3,60.6
"642",7248627,3,51.51
"643",7248627,4,51.51
"644",7248630,3,60.6
"645",7248631,2,54.54
"646",7248632,4,54.54
"647",7248632,6,54.54
"648",7248636,3,51.51
"649",7248636,4,51.51
"650",7248636,5,51.51
"651",7248638,3,54.54
"652",7248639,3,54.54
"653",7248639,4,54.54
"654",7248640,5,63.63
"655",7248644,3,54.54
"656",7248646,4,45.45
"657",7248653,3,45.45
"658",7248653,4,45.45
"659",7248659,4,45.45
"660",7248659,5,45.45
"661",7248662,3,45.45
"662",7248668,5,39.39
"663",7248672,5,42.42
"664",7248672,6,42.42
"665",7248677,4,45.45
"666",7248678,3,45.45
"667",7248690,3,54.54
"668",7248691,4,69.69
"669",7248694,3,36.36
"670",7248698,2,27.27
"671",7248700,3,60.6
"672",7248703,2,45.45
"673",7248709,3,63.63
"674",7248709,4,63.63
"675",7248714,5,57.57
"676",7248717,2,45.45
"677",7248721,3,54.54
"678",7248721,4,54.54
"679",7248721,5,54.54
"680",7248721,6,54.54
"681",7248721,7,54.54
"682",7248722,4,60.6
"683",7248728,2,45.45
"684",7248734,5,63.63
"685",7248745,3,54.54
"686",7248746,6,54.54
"687",7248751,2,63.63
"688",7248751,3,63.63
"689",7248752,4,51.51
"690",7248752,6,51.51
"691",7248753,4,57.57
"692",7248753,5,57.57
"693",7248754,3,48.48
"694",7248754,4,48.48
"695",7248755,3,51.51
"696",7248756,5,72.72
"697",7248757,4,66.66
"698",7248758,3,51.51
"699",7248762,5,39.39
"700",7248763,5,45.45
"701",7248765,6,48.48
"702",7248773,4,51.51
"703",7248775,5,45.45
"704",7248784,5,51.51
"705",7248787,3,51.51
"706",7248791,5,51.51
"707",7248792,4,45.45
"708",7248795,4,51.51
"709",7248795,6,51.51
"710",7248795,7,51.51
"711",7248806,2,69.69
"712",7248808,4,72.72
"713",7248811,4,81.81
"714",7248816,4,69.69
"715",7248819,3,63.63
"716",7248820,5,75.75
"717",7248822,2,87.87
"718",7248824,3,81.81
"719",7248828,3,90.9
"720",7248829,3,84.84
"721",7248831,3,75.75
"722",7248835,3,66.66
"723",7248835,4,66.66
"724",7248837,2,72.72
"725",7248838,2,69.69
"726",7248838,3,69.69
"727",7248838,4,69.69
"728",7248839,3,75.75
"729",7248839,4,75.75
"730",7248839,5,75.75
"731",7248840,3,72.72
"732",7248840,4,72.72
"733",7248844,3,78.78
"734",7248864,3,57.57
"735",7248869,3,60.6
"736",7248872,5,81.81
"737",7248876,3,63.63
"738",7248877,3,60.6
"739",7248877,4,60.6
"740",7248881,2,72.72
"741",7248883,5,45.45
"742",7248883,6,45.45
"743",7248887,2,90.9
"744",7248888,2,90.9
"745",7248888,5,90.9
"746",7248898,4,78.78
"747",7248900,4,87.87
"748",7248900,7,87.87
"749",7248901,4,72.72
"750",7248902,4,81.81
"751",7248906,2,87.87
"752",7248906,3,87.87
"753",7248908,5,99.99
"754",7248908,6,99.99
"755",7248911,2,93.93
"756",7248911,3,93.93
"757",7248915,3,66.66
"758",7248916,3,75.75
"759",7248917,6,72.72
"760",7248921,3,81.81
"761",7248921,4,81.81
"762",7248925,4,90.9
"763",7248927,3,83.32
"764",7248929,3,93.93
"765",7248932,3,78.78
"766",7248932,4,78.78
"767",7248934,3,81.81
"768",7248934,4,81.81
"769",7248938,3,72.72
"770",7248940,3,72.72
"771",7248940,4,72.72
"772",7248940,7,72.72
"773",7248940,8,72.72
"774",7248941,3,69.69
"775",7248941,4,69.69
"776",7248944,3,87.87
"777",7248946,4,81.81
"778",7248946,5,81.81
"779",7248948,3,81.81
"780",7248948,4,81.81
"781",7248950,2,72.72
"782",7248950,3,72.72
"783",7248952,5,81.81
"784",7248956,5,81.81
"785",7248957,3,90.9
"786",7248960,3,90.9
"787",7248965,3,81.81
"788",7248966,4,84.84
"789",7248977,3,66.66
"790",7248977,4,66.66
"791",7248981,3,75.75
"792",7248982,3,72.72
"793",7248983,3,75.75
"794",7248991,5,90.9
"795",7248991,6,90.9
"796",7248997,3,81.81
"797",7249009,2,81.81
"798",7249016,6,90.9
"799",7249021,3,84.84
"800",7249021,4,84.84
"801",7249036,3,81.81
"802",7249037,4,81.81
"803",7249038,2,90.9
"804",7249040,5,81.81
"805",7249042,4,78.78
"806",7249050,5,78.78
"807",7249050,6,78.78
"808",7249053,2,75.75
"809",7249055,3,75.75
"810",7249055,4,75.75
"811",7249056,3,90.9
"812",7249057,3,81.81
"813",7249058,3,78.78
"814",7249059,3,81.81
"815",7249059,4,81.81
"816",7249060,2,81.81
"817",7249060,3,81.81
"818",7249067,2,72.72
"819",7249070,3,75.75
"820",7249070,4,75.75
"821",7249070,5,75.75
"822",7249072,6,72.72
"823",7249077,3,81.81
"824",7249077,4,81.81
"825",7249078,3,57.57
"826",7249079,2,57.57
"827",7249081,5,63.63
"828",7249081,6,63.63
"829",7249083,6,69.69
"830",7249084,4,57.57
"831",7249084,7,57.57
"832",7249085,2,57.57
"833",7249087,4,60.6
"834",7249087,5,60.6
"835",7249092,3,57.57
"836",7249093,3,48.48
"837",7249093,4,48.48
"838",7249097,3,63.63
"839",7249097,4,63.63
"840",7249097,5,63.63
"841",7249097,6,63.63
"842",7249098,3,78.78
"843",7249098,4,78.78
"844",7249099,5,78.78
"845",7249100,4,72.72
"846",7249100,5,72.72
"847",7249101,5,69.69
"848",7249102,3,72.72
"849",7249103,3,69.69
"850",7249109,4,72.72
"851",7249109,5,72.72
"852",7249110,5,66.66
"853",7249113,4,63.63
"854",7249114,3,66.66
"855",7249114,4,66.66
"856",7249116,3,69.69
"857",7249116,4,69.69
"858",7249117,4,69.69
"859",7249117,5,69.69
"860",7249117,6,69.69
"861",7249118,5,90.9
"862",7249118,3,90.9
"863",7249118,4,90.9
"864",7249119,4,72.72
"865",7249119,5,72.72
"866",7249123,3,81.81
"867",7249123,4,81.81
"868",7249125,2,78.78
"869",7249131,3,78.78
"870",7249131,4,78.78
"871",7249134,2,66.66
"872",7249135,3,72.72
"873",7249136,4,72.72
"874",7249136,5,72.72
"875",7249142,3,72.72
"876",7249142,6,72.72
"877",7249142,7,72.72
"878",7249145,3,72.72
"879",7249152,3,72.72
"880",7249152,4,72.72
"881",7249152,5,72.72
"882",7249154,5,72.72
"883",7249154,7,72.72
"884",7249155,5,69.69
"885",7249155,6,69.69
"886",7249155,7,69.69
"887",7249157,4,66.66
"888",7249159,3,69.69
"889",7249160,5,75.75
"890",7249160,7,75.75
"891",7249166,6,84.84
"892",7249167,3,78.78
"893",7249169,3,81.81
"894",7249180,3,72.72
"895",7249183,4,78.78
"896",7249184,5,69.69
"897",7249184,6,69.69
"898",7249185,3,78.78
"899",7249187,3,72.72
"900",7249187,4,72.72
"901",7249189,3,69.69
"902",7249189,4,69.69
"903",7249195,3,63.63
"904",7249196,3,66.66
"905",7249199,2,66.66
"906",7249201,4,81.81
"907",7249202,4,81.81
"908",7249207,3,78.78
"909",7249211,2,81.81
"910",7249229,3,54.54
"911",7249234,3,81.81
"912",7249237,3,90.9
"913",7249237,4,90.9
"914",7249237,5,90.9
"915",7249239,5,75.75
"916",7249240,5,75.75
"917",7249240,6,75.75
"918",7249241,2,81.81
"919",7249245,3,69.69
"920",7249245,4,69.69
"921",7249251,5,72.72
"922",7249251,6,72.72
"923",7249252,2,72.72
"924",7249252,3,72.72
"925",7249252,5,72.72
"926",7249255,3,84.84
"927",7249255,4,84.84
"928",7249255,5,84.84
"929",7249258,3,90.9
"930",7249260,5,81.81
"931",7249261,4,72.72
"932",7249261,5,72.72
"933",7249269,3,72.72
"934",7249273,3,69.69
"935",7249275,3,40.9
"936",7249276,3,81.81
"937",7249277,3,66.66
"938",7249278,4,45.45
"939",7249282,4,57.57
"940",7249285,4,45.45
"941",7249285,6,45.45
"942",7249287,3,57.57
"943",7249290,3,63.63
"944",7249292,6,48.48
"945",7249293,2,54.54
"946",7249296,4,81.81
"947",7249298,4,72.72
"948",7249298,5,72.72
"949",7249300,3,63.63
"950",7249302,2,69.69
"951",7249304,3,86.35
"952",7249305,3,63.63
"953",7249306,3,78.78
"954",7249306,4,78.78
"955",7249308,4,66.66
"956",7249311,3,75.75
"957",7249313,2,66.66
"958",7249317,5,81.81
"959",7249319,3,42.42
"960",7249319,4,42.42
"961",7249320,2,39.39
"962",7249322,2,57.57
"963",7249322,3,57.57
"964",7249324,3,72.72
"965",7249324,4,72.72
"966",7249329,2,69.69
"967",7249329,3,69.69
"968",7249329,4,69.69
"969",7249330,4,39.39
"970",7249338,2,42.42
"971",7249342,5,51.51
"972",7249344,4,54.54
"973",7249344,5,54.54
"974",7249349,5,48.48
"975",7249351,3,81.81
"976",7249361,4,30.3
"977",7249362,3,36.36
"978",7249362,4,36.36
"979",7249364,3,36.36
"980",7249365,5,42.42
"981",7249365,7,42.42
"982",7249365,8,42.42
"983",7249372,4,45.45
"984",7249374,3,45.45
"985",7249377,3,51.51
"986",7249379,6,45.45
"987",7249380,6,36.36
"988",7249382,3,36.36
"989",7249382,4,36.36
"990",7249385,5,42.42
"991",7249386,3,27.27
"992",7249386,4,27.27
"993",7249388,2,18.18
"994",7249389,6,27.27
"995",7249393,2,48.48
"996",7249394,4,45.45
"997",7249394,5,45.45
"998",7249395,5,39.39
"999",7249396,2,45.45
"1000",7249398,3,36.36
"1001",7249398,4,36.36
"1002",7249398,5,36.36
"1003",7249400,3,34.84
"1004",7249400,4,34.84
"1005",7249400,5,34.84
"1006",7249401,3,54.54
"1007",7249401,4,54.54
"1008",7249406,3,75.75
"1009",7249406,4,75.75
"1010",7249407,2,78.78
"1011",7249408,3,87.87
"1012",7249408,4,87.87
"1013",7249409,4,87.87
"1014",7249413,4,78.78
"1015",7249423,2,75.75
"1016",7249424,2,66.66
"1017",7249424,3,66.66
"1018",7249428,4,66.66
"1019",7249431,3,84.84
"1020",7249431,4,84.84
"1021",7249432,3,87.87
"1022",7249432,4,87.87
"1023",7249433,4,84.84
"1024",7249434,3,90.9
"1025",7249434,4,90.9
"1026",7249435,3,57.57
"1027",7249436,3,75.75
"1028",7249436,4,75.75
"1029",7249436,5,75.75
"1030",7249448,3,60.6
"1031",7249448,4,60.6
"1032",7249453,4,57.57
"1033",7249454,3,60.6
"1034",7249454,4,60.6
"1035",7249457,3,75.75
"1036",7249457,4,75.75
"1037",7249458,3,63.63
"1038",7249458,4,63.63
"1039",7249462,3,72.72
"1040",7249462,4,72.72
"1041",7249462,5,72.72
"1042",7249464,4,72.72
"1043",7249464,5,72.72
"1044",7249471,4,66.66
"1045",7249472,3,75.75
"1046",7249478,4,63.63
"1047",7249480,4,66.66
"1048",7249482,2,81.81
"1049",7249482,3,81.81
"1050",7249488,3,78.78
"1051",7249494,3,78.78
"1052",7249498,5,81.81
"1053",7249508,4,87.87
"1054",7249509,4,65.14
"1055",7249510,2,54.54
"1056",7249510,3,54.54
"1057",7249513,2,69.69
"1058",7249516,3,66.66
"1059",7249516,4,66.66
"1060",7249517,3,53.02
"1061",7249517,4,53.02
