"P6040","DIRECTORIO","SECUENCIA_ENCUESTA"
70,7249938,6
64,7249939,1
73,7249941,1
61,7249941,2
75,7249953,5
62,7249956,1
83,7249957,5
62,7249959,1
65,7249959,2
67,7249964,1
65,7249964,2
74,7249968,1
60,7249968,2
75,7249969,1
65,7249969,2
66,7249970,1
61,7249975,1
60,7249978,1
60,7249978,3
78,7249979,1
74,7249980,1
65,7250000,1
83,7250004,1
62,7250006,1
70,7250020,5
67,7250046,1
66,7250046,2
62,7250051,1
62,7250054,5
71,7250057,1
66,7250058,1
72,7250063,1
69,7250063,2
73,7250069,4
62,7250073,1
72,7250074,1
78,7250075,4
77,7250075,5
63,7250079,1
63,7250079,2
72,7250080,1
62,7250080,2
79,7250084,2
71,7250087,1
60,7250087,2
63,7250091,1
66,7250096,1
67,7250096,2
79,7250098,1
81,7250099,7
80,7250108,1
62,7250109,1
64,7250112,1
60,7250112,2
63,7250113,2
65,7250114,1
80,7250120,1
61,7250127,1
76,7250128,1
73,7250134,1
63,7250135,1
60,7250139,2
64,7250142,1
65,7250143,1
60,7250147,1
60,7250149,1
62,7250149,2
77,7250153,1
62,7250156,1
61,7250156,2
62,7250157,2
60,7250159,1
87,7250159,2
67,7250167,1
66,7250170,1
71,7250176,1
69,7250179,1
66,7250182,1
68,7250182,2
67,7250184,2
64,7250196,4
92,7250196,5
74,7250202,3
76,7250205,1
74,7250207,1
70,7250207,2
81,7250210,1
71,7250211,2
61,7250213,1
67,7250223,2
90,7250226,1
72,7250227,1
66,7250227,2
75,7250229,1
86,7250237,2
73,7250239,1
78,7250244,1
66,7250258,1
68,7250263,1
88,7250263,2
76,7250267,1
66,7250267,4
75,7250270,1
62,7250270,2
63,7250271,1
78,7250273,1
74,7250273,2
68,7250278,1
69,7250278,2
70,7250279,1
65,7250283,2
76,7250290,1
61,7250292,1
78,7250295,1
62,7250300,2
65,7250304,1
68,7250305,1
62,7250305,2
70,7250325,1
62,7250327,1
68,7250328,2
76,7250329,1
69,7250329,2
62,7250331,1
60,7250331,2
63,7250333,1
69,7250333,2
76,7250334,1
63,7250337,1
79,7250337,5
91,7250339,1
83,7250339,2
67,7250339,3
76,7250340,2
73,7250342,1
76,7250345,1
64,7250349,1
69,7250351,1
62,7250354,1
74,7250363,1
71,7250363,2
90,7250366,1
84,7250370,1
80,7250370,2
65,7250372,1
64,7250374,1
71,7250379,1
60,7250387,1
80,7250388,1
77,7250389,1
71,7250392,4
69,7250394,1
67,7250399,4
63,7250402,1
76,7250403,1
65,7250403,2
90,7250404,3
69,7250411,1
66,7250411,2
71,7250412,1
64,7250415,3
65,7250417,1
67,7250419,1
60,7250420,1
69,7250422,1
62,7250425,1
65,7250428,1
67,7250433,1
61,7250437,1
76,7250439,1
71,7250439,2
82,7250449,3
78,7250453,1
75,7250454,1
63,7250468,1
63,7250469,1
60,7250472,2
89,7250476,1
62,7250477,1
83,7250481,2
75,7250481,3
72,7250482,1
64,7250486,1
68,7250487,1
70,7250488,1
60,7250492,1
77,7250492,2
77,7250495,1
65,7250498,1
70,7250507,1
62,7250520,1
80,7250542,2
69,7250544,1
60,7250547,1
67,7250551,2
63,7250551,3
78,7250553,1
71,7250553,2
60,7250558,1
66,7250558,2
84,7250560,1
74,7250560,2
71,7250561,1
72,7250561,2
85,7250563,1
62,7250564,1
80,7250565,3
60,7250568,1
67,7250571,1
79,7250571,2
72,7250573,1
63,7250578,1
68,7250582,1
60,7250583,1
72,7250584,1
60,7250587,1
62,7250593,1
70,7250599,1
60,7250601,6
64,7250602,1
76,7250602,2
63,7250604,1
77,7250609,1
98,7250609,2
71,7250610,1
66,7250610,2
64,7250612,1
64,7250616,1
64,7250616,2
67,7250628,1
60,7250630,1
68,7250631,1
60,7250632,1
68,7250632,2
78,7250632,3
78,7250638,1
61,7250641,1
69,7250644,1
80,7250645,3
77,7250646,1
60,7250647,1
66,7250650,1
62,7250650,2
62,7250652,2
68,7250655,1
62,7250655,2
77,7250658,1
75,7250660,2
78,7250663,1
64,7250664,1
84,7250666,3
63,7250673,1
73,7250689,1
68,7250689,2
62,7250696,1
61,7250702,1
64,7250703,1
70,7250705,5
67,7250710,1
78,7250721,1
80,7250721,2
61,7250722,5
83,7250722,6
76,7250724,1
77,7250724,2
72,7250733,1
71,7250734,1
73,7250739,1
60,7250739,2
76,7250741,1
67,7250741,2
77,7250742,1
72,7250743,1
69,7250744,1
65,7250745,1
60,7250746,1
72,7250750,1
69,7250752,1
66,7250752,2
64,7250757,5
61,7250758,1
73,7250759,1
60,7250760,2
64,7250762,1
77,7250763,1
76,7250775,1
71,7250777,1
