DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P784S1A3
7249727;1;1;1;10,5372518697432;4
7249736;1;1;1;16,7893364758073;2
7249736;2;1;2;16,7893364758073;3
7249747;1;1;1;5,60125102746828;3
7249765;1;1;1;16,304513642004;3
7249765;2;1;2;16,304513642004;4
7249780;1;1;1;5,60125102746828;2
7249780;2;1;2;5,60125102746828;3
7249780;3;1;3;5,60125102746828;4
7249783;1;1;1;5,60125102746828;3
7249783;2;1;2;5,60125102746828;4
7249792;1;1;1;5,60125102746828;3
7249805;1;1;1;5,60125102746828;2
7249806;1;1;1;5,60125102746828;2
7249806;2;1;2;5,60125102746828;3
7249808;1;1;1;5,60125102746828;3
7249812;1;1;1;5,60125102746828;3
7249816;1;1;1;5,60125102746828;2
7249826;1;1;1;5,60125102746828;3
7249826;2;1;2;5,60125102746828;4
7249827;1;1;1;5,60125102746828;3
7249835;1;1;1;5,60125102746828;3
7249836;1;1;1;5,60125102746828;3
7249836;2;1;2;5,60125102746828;4
7249837;1;1;1;5,60125102746828;3
7249839;1;1;1;5,60125102746828;3
7249844;1;1;1;48,1707588362272;3
7249844;2;1;2;48,1707588362272;4
7249845;1;1;1;5,60125102746828;3
7249845;2;1;2;5,60125102746828;4
7249845;3;1;3;5,60125102746828;5
7249847;1;1;1;5,60125102746828;3
7249867;1;1;1;5,60125102746828;4
7249870;1;1;1;5,60125102746828;3
7249876;1;1;1;5,60125102746828;3
7249881;1;1;1;5,60125102746828;3
7249881;2;1;2;5,60125102746828;4
7249883;1;1;1;5,60125102746828;3
7249884;1;1;1;5,60125102746828;3
7249892;1;1;1;102,257697621351;3
7249898;1;1;1;75,1700395344891;4
7249909;1;1;1;46,1375570781916;3
7249909;2;1;2;46,1375570781916;4
7249911;1;1;1;37,2201665409139;3
7249920;1;1;1;31,951871634128;3
7249922;1;1;1;54,0135647808741;5
7249925;1;1;1;40,1866512145048;3
7249928;1;1;1;55,1643279416259;3
7249935;1;1;1;46,4734066987951;3
7249935;2;1;2;46,4734066987951;4
7249962;1;1;1;496,310349036079;2
7250019;1;1;1;448,409649466278;3
7250019;2;1;2;448,409649466278;4
7250043;1;1;1;305,241035116803;3
7250043;2;1;2;305,241035116803;4
7250055;1;1;1;339,89808472784;3
7250055;2;1;2;339,89808472784;4
7250060;1;1;1;230,667893787544;3
7250060;2;1;2;230,667893787544;4
7250065;1;1;1;252,300503973807;6
7250066;1;1;1;161,46757571803;3
7250066;2;1;2;161,46757571803;4
7250066;3;1;3;161,46757571803;5
7250067;1;1;1;200,977501880227;3
7250067;2;1;2;200,977501880227;4
7250072;1;1;1;218,447226777641;2
7250076;1;1;1;192,707588914692;3
7250076;2;1;2;192,707588914692;4
7250076;3;1;3;192,707588914692;6
7250079;1;1;1;163,433380117483;3
7250079;2;1;2;163,433380117483;4
7250086;1;1;1;173,807044343845;3
7250086;2;1;2;173,807044343845;5
7250093;1;1;1;114,561613071379;2
7250098;1;1;1;152,6670958244;4
7250099;1;1;1;144,381474091987;4
7250099;2;1;2;144,381474091987;5
7250099;3;1;3;144,381474091987;6
7250112;1;1;1;104,908887019115;3
7250116;1;1;1;190,305467762529;2
7250116;2;1;2;190,305467762529;3
7250118;1;1;1;152,843949039549;3
7250118;2;1;2;152,843949039549;4
7250124;1;1;1;107,968532507564;3
7250126;1;1;1;147,151602158384;3
7250126;2;1;2;147,151602158384;5
7250129;1;1;1;109,994327256141;3
7250129;2;1;2;109,994327256141;4
7250129;3;1;3;109,994327256141;5
7250161;1;1;1;70,0282220238339;3
7250161;2;1;2;70,0282220238339;3
7250162;1;1;1;61,9690305717102;5
7250162;2;1;2;61,9690305717102;6
7250166;1;1;1;42,3981950271945;2
7250166;2;1;2;42,3981950271945;3
7250166;3;1;3;42,3981950271945;4
7250172;1;1;1;210,554658145636;2
7250172;2;1;2;210,554658145636;3
7250175;1;1;1;81,1215940328689;8
7250175;2;1;2;81,1215940328689;9
7250183;1;1;1;50,1411141349368;3
7250188;2;1;2;47,7762292970319;5
7250188;1;1;1;47,7762292970319;4
7250209;1;1;1;178,260394128813;6
7250246;1;1;1;318,615210707379;2
7250246;2;1;2;318,615210707379;3
7250257;2;1;2;335,999074683541;5
7250257;3;1;3;335,999074683541;6
7250257;4;1;4;335,999074683541;7
7250257;1;1;1;335,999074683541;4
7250267;1;1;1;129,572802088275;3
7250273;1;1;1;151,316218566184;3
7250273;2;1;2;151,316218566184;4
7250274;1;1;1;165,333359277355;2
7250274;2;1;2;165,333359277355;1
7250280;1;1;1;153,236319046949;3
7250282;2;1;2;179,466024593468;4
7250282;1;1;1;179,466024593468;3
7250286;1;1;1;187,234540060339;5
7250286;2;1;2;187,234540060339;8
7250288;1;1;1;132,265639894523;3
7250288;2;1;2;132,265639894523;4
7250292;1;1;1;61,3567259175177;2
7250296;1;1;1;112,865169850695;4
7250296;2;1;2;112,865169850695;5
7250302;1;1;1;159,754569227945;3
7250302;2;1;2;159,754569227945;4
7250302;3;1;3;159,754569227945;5
7250302;4;1;4;159,754569227945;8
7250307;2;1;2;156,248997237932;4
7250307;3;1;3;156,248997237932;5
7250307;1;1;1;156,248997237932;3
7250309;1;1;1;186,303163761404;3
7250310;1;1;1;70,5945767971513;1
7250311;1;1;1;104,416190583572;5
7250315;1;1;1;189,390916534717;3
7250315;2;1;2;189,390916534717;4
7250315;3;1;3;189,390916534717;5
7250315;4;1;4;189,390916534717;6
7250316;1;1;1;194,076942136589;5
7250316;2;1;2;194,076942136589;6
7250318;1;1;1;185,031554077891;3
7250318;2;1;2;185,031554077891;4
7250320;1;1;1;221,104327742111;3
7250320;2;1;2;221,104327742111;4
7250323;1;1;1;203,912433322863;3
7250323;2;1;2;203,912433322863;4
7250324;1;1;1;203,798069669345;3
7250324;2;1;2;203,798069669345;4
7250331;1;1;1;213,556585261609;5
7250331;2;1;2;213,556585261609;6
7250331;3;1;3;213,556585261609;7
7250332;1;1;1;206,30728175365;3
7250332;2;1;2;206,30728175365;4
7250333;1;1;1;129,716446284311;6
7250335;1;1;1;141,230255757029;4
7250335;2;1;2;141,230255757029;5
7250337;1;1;1;185,107697526753;4
7250338;1;1;1;154,84130683314;4
7250342;1;1;1;310,925900863048;4
7250343;1;1;1;324,968743577691;3
7250343;2;1;2;324,968743577691;4
7250346;1;1;1;270,83970762646;3
7250347;1;1;1;316,226737963802;2
7250348;1;1;1;295,803812708534;3
7250348;2;1;2;295,803812708534;4
7250350;1;1;1;341,573769453578;4
7250353;1;1;1;112,16726175691;4
7250353;2;1;2;112,16726175691;5
7250353;3;1;3;112,16726175691;6
7250354;1;1;1;75,4254327156775;2
7250356;1;1;1;94,009671707997;3
7250356;2;1;2;94,009671707997;4
7250357;1;1;1;129,890941483729;2
7250357;2;1;2;129,890941483729;6
7250357;3;1;3;129,890941483729;4
7250358;1;1;1;142,108373549077;3
7250358;2;1;2;142,108373549077;4
7250358;3;1;3;142,108373549077;5
7250359;2;1;2;77,8389349026969;4
7250359;1;1;1;77,8389349026969;3
7250360;1;1;1;95,3359646304288;4
7250373;1;1;1;105,418483941116;2
7250373;2;1;2;105,418483941116;3
7250390;1;1;1;235,774794899892;2
7250390;2;1;2;235,774794899892;3
7250396;1;1;1;254,934281400693;6
7250410;1;1;1;65,6704783466948;3
7250418;1;1;1;67,4515854559551;3
7250428;1;1;1;49,526138818206;3
7250428;2;1;2;49,526138818206;4
7250432;1;1;1;81,4537729839728;3
7250432;2;1;2;81,4537729839728;4
7250440;1;1;1;64,1709831208568;2
7250440;2;1;2;64,1709831208568;4
7250443;1;1;1;58,6722979194226;9
7250451;1;1;1;213,541930982408;4
7250457;1;1;1;216,946164902696;3
7250459;1;1;1;212,860079583229;2
7250460;1;1;1;200,2845887396;2
7250460;2;1;2;200,2845887396;3
7250462;1;1;1;210,589309355967;2
7250462;2;1;2;210,589309355967;3
7250464;1;1;1;213,985028643254;3
7250484;1;1;1;217,104148997776;3
7250484;2;1;2;217,104148997776;4
7250488;1;1;1;190,17440976578;3
7250488;2;1;2;190,17440976578;4
7250577;1;1;1;26,5154153398065;2
7250577;2;1;2;26,5154153398065;3
7250577;3;1;3;26,5154153398065;4
7250585;1;1;1;79,8783019427226;4
7250585;2;1;2;79,8783019427226;5
7250591;1;1;1;75,7613371682934;1
7250592;1;1;1;66,2363803173244;4
7250592;2;1;2;66,2363803173244;5
7250617;1;1;1;43,9148078733994;3
7250618;1;1;1;79,9851178695267;3
7250618;2;1;2;79,9851178695267;4
7250623;1;1;1;32,8980826105745;4
7250624;1;1;1;71,8597926176856;3
7250624;2;1;2;71,8597926176856;4
7250627;1;1;1;80,2577450679922;3
7250631;1;1;1;80,850775534338;3
7250631;2;1;2;80,850775534338;4
7250633;1;1;1;95,4113145373134;3
7250633;2;1;2;95,4113145373134;4
7250633;3;1;3;95,4113145373134;5
7250635;1;1;1;37,9536464716217;2
7250635;2;1;2;37,9536464716217;3
7250635;3;1;3;37,9536464716217;4
7250635;4;1;4;37,9536464716217;5
7250636;1;1;1;73,3334036952697;3
