"P6040","DIRECTORIO","SECUENCIA_ENCUESTA"
9,7249157,4
2,7249159,3
0,7249160,5
11,7249160,7
5,7249166,6
0,7249167,3
5,7249169,3
7,7249180,3
8,7249183,4
9,7249184,5
5,7249184,6
12,7249185,3
5,7249187,3
2,7249187,4
5,7249189,3
3,7249189,4
3,7249195,3
4,7249196,3
1,7249199,2
9,7249201,4
2,7249202,4
1,7249207,3
11,7249211,2
3,7249229,3
4,7249234,3
11,7249237,3
4,7249237,4
5,7249237,5
2,7249239,5
6,7249240,5
3,7249240,6
2,7249241,2
6,7249245,3
3,7249245,4
8,7249251,5
1,7249251,6
6,7249252,2
3,7249252,3
4,7249252,5
10,7249255,3
9,7249255,4
1,7249255,5
12,7249258,3
5,7249260,5
10,7249261,4
7,7249261,5
9,7249269,3
8,7249273,3
4,7249275,3
5,7249276,3
8,7249277,3
9,7249278,4
12,7249282,4
6,7249285,4
11,7249285,6
7,7249287,3
6,7249290,3
12,7249292,6
12,7249293,2
11,7249296,4
9,7249298,4
7,7249298,5
1,7249300,3
1,7249302,2
7,7249304,3
2,7249305,3
6,7249306,3
1,7249306,4
9,7249308,4
8,7249311,3
3,7249313,2
6,7249317,5
10,7249319,3
8,7249319,4
9,7249320,2
11,7249322,2
7,7249322,3
8,7249324,3
5,7249324,4
12,7249329,2
9,7249329,3
7,7249329,4
11,7249330,4
2,7249338,2
8,7249342,5
11,7249344,4
8,7249344,5
5,7249349,5
10,7249351,3
11,7249361,4
11,7249362,3
9,7249362,4
10,7249364,3
3,7249365,5
3,7249365,7
12,7249365,8
12,7249372,4
1,7249374,3
8,7249377,3
12,7249379,6
10,7249380,6
7,7249382,3
5,7249382,4
8,7249385,5
11,7249386,3
8,7249386,4
12,7249388,2
1,7249389,6
1,7249393,2
11,7249394,4
11,7249394,5
2,7249395,5
6,7249396,2
12,7249398,3
7,7249398,4
0,7249398,5
4,7249400,3
2,7249400,4
0,7249400,5
10,7249401,3
3,7249401,4
8,7249406,3
1,7249406,4
7,7249407,2
9,7249408,3
5,7249408,4
9,7249409,4
12,7249413,4
3,7249423,2
9,7249424,2
1,7249424,3
3,7249428,4
11,7249431,3
6,7249431,4
12,7249432,3
8,7249432,4
5,7249433,4
8,7249434,3
5,7249434,4
12,7249435,3
12,7249436,3
4,7249436,4
3,7249436,5
5,7249448,3
3,7249448,4
8,7249453,4
5,7249454,3
2,7249454,4
11,7249457,3
1,7249457,4
6,7249458,3
1,7249458,4
7,7249462,3
3,7249462,4
0,7249462,5
9,7249464,4
5,7249464,5
1,7249471,4
12,7249472,3
4,7249478,4
3,7249480,4
7,7249482,2
1,7249482,3
11,7249488,3
12,7249494,3
12,7249498,5
11,7249508,4
7,7249509,4
10,7249510,2
7,7249510,3
0,7249513,2
7,7249516,3
0,7249516,4
6,7249517,3
1,7249517,4
12,7249518,3
3,7249518,4
9,7249519,4
1,7249520,3
7,7249522,3
3,7249528,3
0,7249528,4
12,7249530,4
1,7249536,3
9,7249539,3
7,7249539,4
11,7249541,3
8,7249544,4
3,7249544,5
12,7249546,4
10,7249548,4
7,7249548,5
1,7249549,3
10,7249562,5
6,7249562,6
11,7249570,3
10,7249570,5
11,7249571,4
12,7249572,4
0,7249572,5
11,7249573,3
5,7249573,4
1,7249573,5
4,7249577,3
1,7249579,3
11,7249581,2
4,7249582,3
10,7249586,2
10,7249587,3
1,7249587,4
3,7249591,2
12,7249592,3
5,7249592,4
9,7249593,5
2,7249593,6
12,7249598,3
4,7249602,3
10,7249609,2
6,7249609,3
0,7249609,4
7,7249609,3
4,7249609,4
0,7249612,2
10,7249614,2
2,7249614,3
8,7249618,3
8,7249620,4
8,7249621,4
12,7249622,3
10,7249622,4
12,7249631,3
3,7249631,4
11,7249641,4
4,7249641,5
11,7249644,3
3,7249644,4
12,7249647,4
7,7249651,4
10,7249653,3
12,7249655,2
3,7249659,3
8,7249662,2
7,7249662,3
9,7249664,3
4,7249664,4
11,7249669,4
5,7249669,5
3,7249675,3
10,7249683,3
8,7249683,4
2,7249689,5
6,7249698,3
12,7249699,3
9,7249699,4
4,7249700,3
2,7249700,4
4,7249705,3
10,7249709,3
4,7249709,4
6,7249710,2
4,7249710,3
10,7249715,3
8,7249717,2
0,7249718,3
11,7249720,5
10,7249723,3
8,7249727,4
3,7249730,3
1,7249730,4
7,7249744,5
6,7249745,3
6,7249745,4
11,7249747,3
7,7249758,5
9,7249763,4
8,7249764,5
4,7249764,6
9,7249765,3
2,7249765,4
5,7249767,3
3,7249767,4
0,7249779,3
12,7249780,3
7,7249780,4
6,7249783,4
9,7249792,3
5,7249804,3
0,7249804,4
11,7249805,2
7,7249806,3
7,7249812,3
4,7249819,2
10,7249824,3
6,7249824,4
1,7249824,5
0,7249824,6
9,7249826,3
3,7249826,4
11,7249830,4
8,7249832,3
