DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P784S4A2;P784S4A3;P784S4A4
7257549;1;1;1;38,5590580358486;ALCALDIA DEL MOLINO;1;100000
7257549;2;1;2;38,5590580358486;ALCALDIA DEL MOLINO;1;70000
7257551;1;1;1;60,0920233534303;DEVOLUCION DEL IVA;1;220000
7257631;1;1;1;331,373452467205;MERCADO;1;250000
7257648;1;1;1;70,7864133856483;MERCADO SOLIDARIO;1;200000
7257675;1;1;1;50,9150899479693;IVA;1;320000
7257708;1;1;1;56,8759506724025;IVA;1;900000
7257735;1;1;1;113,484403999759;MERCADO;1;80000
7257740;1;1;1;104,411675805641;AYUDA HUMANITARIA ALIMENTO;1;150000
7257828;1;1;1;70,561802007676;MERCADO DE ALIMENTOS NO PERECEDEROS;1;100000
7257834;1;1;1;94,3446268779556;MERCADO DE ALIMENTOS NO PERECEDEROS;1;60000
7257834;2;1;2;94,3446268779556;PROGRAMA DE ALIMENTACION ESCOLAR;2;60000
7257835;1;1;1;101,904421312262;MERCADO DE ALIMENTOS NO PERECEDEROS;1;150000
7257835;2;1;2;101,904421312262;PROGRAMA DE ALIMENTACION ESCOLAR;1;25000
7257853;1;1;1;193,950955598595;DEVOLUCION IVA;1;225000
7257856;1;1;1;100,64930543389;DEVOLUCION DEL IVA;1;150000
7257891;1;1;1;106,837842381907;BONO ADICIONAL;1;435000
7257915;1;1;1;119,614806165999;DEVOLUCION DEL IVA;1;225000
7257940;1;1;1;232,14156480301;IVA;1;240000
7257970;1;1;1;62,388429903072;AYUDA HUMANITARIA COMIDA;1;80000
7257972;1;1;1;71,1422190073835;AYUDA HUMANITARIA COMIDA;1;80000
7257979;1;1;1;67,2960238490389;AYUDA HUMANITARIA COMIDA;1;40000
7257982;1;1;1;70,6381861175743;AYUDA HUMANITARIO COMIDA;1;60000
7257990;1;1;1;70,18700235101;AYUDA HUMANITARIA COMIDA;1;80000
7257993;1;1;1;83,045657701427;AYUDA HUMANIYARIA COMIDA;1;80000
7257997;1;1;1;69,7377116974645;AYUDA HUMANITARIA COMIDA;1;85000
7258001;1;1;1;69,7377116974645;AYUDA HUMANITARIA COMIDA;1;50000
7258004;1;1;1;67,0608392979385;AYUDA HUMANITARIA;1;80000
