"P6040","DIRECTORIO","SECUENCIA_ENCUESTA","id","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19"
65,7372280,1,"7372280-1",192334,NA,NA,62957,62483,178045,155471,612627,62957,192334,62957,178045,NA,62957,NA
63,7372447,3,"7372447-3",192358,NA,NA,NA,NA,178068,155490,612733,NA,192358,NA,178068,NA,NA,NA
66,7372449,1,"7372449-1",192361,NA,NA,62965,62491,178071,155493,612739,62965,192361,62965,178071,NA,62965,NA
60,7372449,2,"7372449-2",192362,NA,NA,NA,NA,178072,155494,612740,NA,192362,NA,178072,NA,NA,NA
70,7372462,6,"7372462-6",192393,NA,NA,NA,NA,178102,155519,612841,NA,192393,NA,178102,NA,NA,NA
70,7372463,1,"7372463-1",192395,NA,NA,62977,62503,178104,155521,612847,62977,192395,62977,178104,NA,62977,NA
72,7372463,3,"7372463-3",192397,NA,NA,NA,NA,178106,155523,612849,NA,192397,NA,178106,NA,NA,NA
67,7372469,1,"7372469-1",192411,NA,NA,62983,62509,178119,155535,612928,62983,192411,62983,178119,NA,62983,NA
78,7372474,2,"7372474-2",192430,NA,NA,NA,NA,178138,155551,612996,NA,192430,NA,178138,NA,NA,NA
71,7372481,1,"7372481-1",192436,NA,NA,62992,62516,178144,155556,613065,62992,192436,62992,178144,NA,62992,NA
61,7372482,1,"7372482-1",192442,NA,NA,62995,62517,178149,155560,613091,62995,192442,62995,178149,NA,62995,NA
64,7372488,2,"7372488-2",192462,NA,NA,NA,NA,178167,155576,613208,NA,192462,NA,178167,NA,NA,NA
64,7372489,1,"7372489-1",192465,NA,NA,63003,62524,178170,155579,613233,63003,192465,63003,178170,5820,63003,NA
63,7372489,2,"7372489-2",192466,NA,NA,NA,NA,178171,155580,613234,NA,192466,NA,178171,5821,NA,NA
64,7372491,1,"7372491-1",192472,NA,NA,63005,62526,178177,155586,613265,63005,192472,63005,178177,5823,63005,NA
65,7372491,2,"7372491-2",192473,NA,NA,NA,NA,178178,155587,613266,NA,192473,NA,178178,5824,NA,NA
62,7372492,1,"7372492-1",192476,NA,NA,63006,62527,178181,155590,613281,63006,192476,63006,178181,5825,63006,NA
63,7372493,2,"7372493-2",192482,NA,NA,NA,NA,178187,155596,613303,NA,192482,NA,178187,NA,NA,NA
62,7372494,1,"7372494-1",192485,NA,NA,63008,62529,178190,155599,613319,63008,192485,63008,178190,NA,63008,NA
65,7372502,1,"7372502-1",192507,NA,NA,63016,62537,178210,155614,613425,63016,192507,63016,178210,NA,63016,NA
61,7372508,1,"7372508-1",192523,NA,NA,63022,62543,178223,155626,613522,63022,192523,63022,178223,NA,63022,NA
67,7372513,1,"7372513-1",192541,NA,NA,63027,62548,178238,155640,613613,63027,192541,63027,178238,NA,63027,NA
